SYSTEM,WATERWAY,SITE,Datetime,Water_Level_m,Water_Level_m_AHD
Wimmera,Burnt,Peuckers,2/08/2017 16:00,0.431,144.268
Wimmera,Burnt,Peuckers,2/08/2017 17:00,0.441,144.278
Wimmera,Burnt,Peuckers,2/08/2017 18:00,0.445,144.282
Wimmera,Burnt,Peuckers,2/08/2017 19:00,0.449,144.286
Wimmera,Burnt,Peuckers,2/08/2017 20:00,0.441,144.278
Wimmera,Burnt,Peuckers,2/08/2017 21:00,0.452,144.289
Wimmera,Burnt,Peuckers,2/08/2017 22:00,0.447,144.284
Wimmera,Burnt,Peuckers,2/08/2017 23:00,0.441,144.278
Wimmera,Burnt,Peuckers,3/08/2017 0:00,0.45,144.287
Wimmera,Burnt,Peuckers,3/08/2017 1:00,0.457,144.294
Wimmera,Burnt,Peuckers,3/08/2017 2:00,0.453,144.29
Wimmera,Burnt,Peuckers,3/08/2017 3:00,0.462,144.299
Wimmera,Burnt,Peuckers,3/08/2017 4:00,0.465,144.302
Wimmera,Burnt,Peuckers,3/08/2017 5:00,0.466,144.303
Wimmera,Burnt,Peuckers,3/08/2017 6:00,0.456,144.293
Wimmera,Burnt,Peuckers,3/08/2017 7:00,0.455,144.292
Wimmera,Burnt,Peuckers,3/08/2017 8:00,0.459,144.296
Wimmera,Burnt,Peuckers,3/08/2017 9:00,0.453,144.29
Wimmera,Burnt,Peuckers,3/08/2017 10:00,0.458,144.295
Wimmera,Burnt,Peuckers,3/08/2017 11:00,0.462,144.299
Wimmera,Burnt,Peuckers,3/08/2017 12:00,0.475,144.312
Wimmera,Burnt,Peuckers,3/08/2017 13:00,0.49,144.327
Wimmera,Burnt,Peuckers,3/08/2017 14:00,0.504,144.341
Wimmera,Burnt,Peuckers,3/08/2017 15:00,0.509,144.346
Wimmera,Burnt,Peuckers,3/08/2017 16:00,0.517,144.354
Wimmera,Burnt,Peuckers,3/08/2017 17:00,0.513,144.35
Wimmera,Burnt,Peuckers,3/08/2017 18:00,0.516,144.353
Wimmera,Burnt,Peuckers,3/08/2017 19:00,0.513,144.35
Wimmera,Burnt,Peuckers,3/08/2017 20:00,0.506,144.343
Wimmera,Burnt,Peuckers,3/08/2017 21:00,0.512,144.349
Wimmera,Burnt,Peuckers,3/08/2017 22:00,0.508,144.345
Wimmera,Burnt,Peuckers,3/08/2017 23:00,0.512,144.349
Wimmera,Burnt,Peuckers,4/08/2017 0:00,0.515,144.352
Wimmera,Burnt,Peuckers,4/08/2017 1:00,0.515,144.352
Wimmera,Burnt,Peuckers,4/08/2017 2:00,0.511,144.348
Wimmera,Burnt,Peuckers,4/08/2017 3:00,0.508,144.345
Wimmera,Burnt,Peuckers,4/08/2017 4:00,0.505,144.342
Wimmera,Burnt,Peuckers,4/08/2017 5:00,0.504,144.341
Wimmera,Burnt,Peuckers,4/08/2017 6:00,0.501,144.338
Wimmera,Burnt,Peuckers,4/08/2017 7:00,0.494,144.331
Wimmera,Burnt,Peuckers,4/08/2017 8:00,0.485,144.322
Wimmera,Burnt,Peuckers,4/08/2017 9:00,0.487,144.324
Wimmera,Burnt,Peuckers,4/08/2017 10:00,0.486,144.323
Wimmera,Burnt,Peuckers,4/08/2017 11:00,0.491,144.328
Wimmera,Burnt,Peuckers,4/08/2017 12:00,0.505,144.342
Wimmera,Burnt,Peuckers,4/08/2017 13:00,0.528,144.365
Wimmera,Burnt,Peuckers,4/08/2017 14:00,0.505,144.342
Wimmera,Burnt,Peuckers,4/08/2017 15:00,0.508,144.345
Wimmera,Burnt,Peuckers,4/08/2017 16:00,0.504,144.341
Wimmera,Burnt,Peuckers,4/08/2017 17:00,0.506,144.343
Wimmera,Burnt,Peuckers,4/08/2017 18:00,0.503,144.34
Wimmera,Burnt,Peuckers,4/08/2017 19:00,0.5,144.337
Wimmera,Burnt,Peuckers,4/08/2017 20:00,0.493,144.33
Wimmera,Burnt,Peuckers,4/08/2017 21:00,0.488,144.325
Wimmera,Burnt,Peuckers,4/08/2017 22:00,0.485,144.322
Wimmera,Burnt,Peuckers,4/08/2017 23:00,0.48,144.317
Wimmera,Burnt,Peuckers,5/08/2017 0:00,0.473,144.31
