SYSTEM,WATERWAY,SITE,Datetime,Water_Level_m,Water_Level_m_AHD
Glenelg,Glenelg,Weavers,26/10/2019 0:29,0.599,174.24
Glenelg,Glenelg,Weavers,26/10/2019 1:29,0.602,174.25
Glenelg,Glenelg,Weavers,26/10/2019 2:29,0.604,174.25
Glenelg,Glenelg,Weavers,26/10/2019 3:29,0.598,174.24
Glenelg,Glenelg,Weavers,26/10/2019 4:29,0.604,174.25
Glenelg,Glenelg,Weavers,26/10/2019 5:29,0.603,174.25
Glenelg,Glenelg,Weavers,26/10/2019 6:29,0.598,174.24
Glenelg,Glenelg,Weavers,26/10/2019 7:29,0.603,174.25
Glenelg,Glenelg,Weavers,26/10/2019 8:29,0.601,174.24
Glenelg,Glenelg,Weavers,26/10/2019 9:29,0.603,174.25
Glenelg,Glenelg,Weavers,26/10/2019 10:29,0.604,174.25
Glenelg,Glenelg,Weavers,26/10/2019 11:29,0.603,174.25
Glenelg,Glenelg,Weavers,26/10/2019 12:29,0.6,174.24
Glenelg,Glenelg,Weavers,26/10/2019 13:29,0.598,174.24
Glenelg,Glenelg,Weavers,26/10/2019 14:29,0.598,174.24
Glenelg,Glenelg,Weavers,26/10/2019 15:29,0.597,174.24
Glenelg,Glenelg,Weavers,26/10/2019 16:29,0.602,174.25
Glenelg,Glenelg,Weavers,26/10/2019 17:29,0.601,174.24
Glenelg,Glenelg,Weavers,26/10/2019 18:29,0.597,174.24
Glenelg,Glenelg,Weavers,26/10/2019 19:29,0.597,174.24
Glenelg,Glenelg,Weavers,26/10/2019 20:29,0.592,174.24
Glenelg,Glenelg,Weavers,26/10/2019 21:29,0.59,174.23
Glenelg,Glenelg,Weavers,26/10/2019 22:29,0.59,174.23
Glenelg,Glenelg,Weavers,26/10/2019 23:29,0.59,174.23
Glenelg,Glenelg,Weavers,27/10/2019 0:29,0.588,174.23
Glenelg,Glenelg,Weavers,27/10/2019 1:29,0.581,174.22
Glenelg,Glenelg,Weavers,27/10/2019 2:29,0.582,174.23
Glenelg,Glenelg,Weavers,27/10/2019 3:29,0.58,174.22
Glenelg,Glenelg,Weavers,27/10/2019 4:29,0.579,174.22
Glenelg,Glenelg,Weavers,27/10/2019 5:29,0.581,174.22
Glenelg,Glenelg,Weavers,27/10/2019 6:29,0.577,174.22
Glenelg,Glenelg,Weavers,27/10/2019 7:29,0.576,174.22
Glenelg,Glenelg,Weavers,27/10/2019 8:29,0.57,174.21
Glenelg,Glenelg,Weavers,27/10/2019 9:29,0.567,174.21
Glenelg,Glenelg,Weavers,27/10/2019 10:29,0.562,174.21
Glenelg,Glenelg,Weavers,27/10/2019 11:29,0.565,174.21
Glenelg,Glenelg,Weavers,27/10/2019 12:29,0.56,174.20
Glenelg,Glenelg,Weavers,27/10/2019 13:29,0.56,174.20
Glenelg,Glenelg,Weavers,27/10/2019 14:29,0.561,174.20
Glenelg,Glenelg,Weavers,27/10/2019 15:29,0.561,174.20
Glenelg,Glenelg,Weavers,27/10/2019 16:29,0.556,174.20
Glenelg,Glenelg,Weavers,27/10/2019 17:29,0.557,174.20
Glenelg,Glenelg,Weavers,27/10/2019 18:29,0.559,174.20
Glenelg,Glenelg,Weavers,27/10/2019 19:29,0.561,174.20
Glenelg,Glenelg,Weavers,27/10/2019 20:29,0.559,174.20
Glenelg,Glenelg,Weavers,27/10/2019 21:29,0.554,174.20
Glenelg,Glenelg,Weavers,27/10/2019 22:29,0.552,174.20
Glenelg,Glenelg,Weavers,27/10/2019 23:29,0.553,174.20
Glenelg,Glenelg,Weavers,28/10/2019 0:29,0.55,174.19
Glenelg,Glenelg,Weavers,28/10/2019 1:29,0.541,174.18
Glenelg,Glenelg,Weavers,28/10/2019 2:29,0.545,174.19
Glenelg,Glenelg,Weavers,28/10/2019 3:29,0.543,174.19
Glenelg,Glenelg,Weavers,28/10/2019 4:29,0.541,174.18
Glenelg,Glenelg,Weavers,28/10/2019 5:29,0.537,174.18
Glenelg,Glenelg,Weavers,28/10/2019 6:29,0.538,174.18
Glenelg,Glenelg,Weavers,28/10/2019 7:29,0.534,174.18
Glenelg,Glenelg,Weavers,28/10/2019 8:29,0.53,174.17
Glenelg,Glenelg,Weavers,28/10/2019 9:29,0.528,174.17
Glenelg,Glenelg,Weavers,28/10/2019 10:29,0.531,174.17
Glenelg,Glenelg,Weavers,28/10/2019 11:29,0.53,174.17
Glenelg,Glenelg,Weavers,28/10/2019 12:29,0.521,174.16
Glenelg,Glenelg,Weavers,28/10/2019 13:29,0.525,174.17
Glenelg,Glenelg,Weavers,28/10/2019 14:29,0.523,174.17
Glenelg,Glenelg,Weavers,28/10/2019 15:29,0.519,174.16
Glenelg,Glenelg,Weavers,28/10/2019 16:29,0.519,174.16
Glenelg,Glenelg,Weavers,28/10/2019 17:29,0.517,174.16
Glenelg,Glenelg,Weavers,28/10/2019 18:29,0.518,174.16
Glenelg,Glenelg,Weavers,28/10/2019 19:29,0.515,174.16
Glenelg,Glenelg,Weavers,28/10/2019 20:29,0.517,174.16
Glenelg,Glenelg,Weavers,28/10/2019 21:29,0.52,174.16
Glenelg,Glenelg,Weavers,28/10/2019 22:29,0.515,174.16
Glenelg,Glenelg,Weavers,28/10/2019 23:29,0.513,174.16
Glenelg,Glenelg,Weavers,29/10/2019 0:29,0.512,174.16
Glenelg,Glenelg,Weavers,29/10/2019 1:29,0.507,174.15
Glenelg,Glenelg,Weavers,29/10/2019 2:29,0.508,174.15
Glenelg,Glenelg,Weavers,29/10/2019 3:29,0.505,174.15
Glenelg,Glenelg,Weavers,29/10/2019 4:29,0.506,174.15
Glenelg,Glenelg,Weavers,29/10/2019 5:29,0.504,174.15
Glenelg,Glenelg,Weavers,29/10/2019 6:29,0.503,174.15
Glenelg,Glenelg,Weavers,29/10/2019 7:29,0.503,174.15
Glenelg,Glenelg,Weavers,29/10/2019 8:29,0.498,174.14
Glenelg,Glenelg,Weavers,29/10/2019 9:29,0.498,174.14
Glenelg,Glenelg,Weavers,29/10/2019 10:29,0.492,174.14
Glenelg,Glenelg,Weavers,29/10/2019 11:29,0.492,174.14
Glenelg,Glenelg,Weavers,29/10/2019 12:29,0.487,174.13
Glenelg,Glenelg,Weavers,29/10/2019 13:29,0.486,174.13
Glenelg,Glenelg,Weavers,29/10/2019 14:29,0.483,174.13
Glenelg,Glenelg,Weavers,29/10/2019 15:29,0.476,174.12
Glenelg,Glenelg,Weavers,29/10/2019 16:29,0.484,174.13
Glenelg,Glenelg,Weavers,29/10/2019 17:29,0.478,174.12
Glenelg,Glenelg,Weavers,29/10/2019 18:29,0.476,174.12
Glenelg,Glenelg,Weavers,29/10/2019 19:29,0.475,174.12
Glenelg,Glenelg,Weavers,29/10/2019 20:29,0.474,174.12
Glenelg,Glenelg,Weavers,29/10/2019 21:29,0.476,174.12
Glenelg,Glenelg,Weavers,29/10/2019 22:29,0.475,174.12
Glenelg,Glenelg,Weavers,29/10/2019 23:29,0.469,174.11
Glenelg,Glenelg,Weavers,30/10/2019 0:29,0.472,174.12
Glenelg,Glenelg,Weavers,30/10/2019 1:29,0.472,174.12
Glenelg,Glenelg,Weavers,30/10/2019 2:29,0.471,174.11
Glenelg,Glenelg,Weavers,30/10/2019 3:29,0.467,174.11
Glenelg,Glenelg,Weavers,30/10/2019 4:29,0.465,174.11
Glenelg,Glenelg,Weavers,30/10/2019 5:29,0.466,174.11
Glenelg,Glenelg,Weavers,30/10/2019 6:29,0.463,174.11
Glenelg,Glenelg,Weavers,30/10/2019 7:29,0.459,174.10
Glenelg,Glenelg,Weavers,30/10/2019 8:29,0.455,174.10
Glenelg,Glenelg,Weavers,30/10/2019 9:29,0.453,174.10
Glenelg,Glenelg,Weavers,30/10/2019 10:29,0.45,174.09
Glenelg,Glenelg,Weavers,30/10/2019 11:29,0.447,174.09
Glenelg,Glenelg,Weavers,30/10/2019 12:29,0.444,174.09
Glenelg,Glenelg,Weavers,30/10/2019 13:29,0.442,174.09
Glenelg,Glenelg,Weavers,30/10/2019 14:29,0.443,174.09
Glenelg,Glenelg,Weavers,30/10/2019 15:29,0.434,174.08
Glenelg,Glenelg,Weavers,30/10/2019 16:29,0.435,174.08
Glenelg,Glenelg,Weavers,30/10/2019 17:29,0.44,174.08
Glenelg,Glenelg,Weavers,30/10/2019 18:29,0.433,174.08
Glenelg,Glenelg,Weavers,30/10/2019 19:29,0.437,174.08
Glenelg,Glenelg,Weavers,30/10/2019 20:29,0.441,174.08
Glenelg,Glenelg,Weavers,30/10/2019 21:29,0.438,174.08
Glenelg,Glenelg,Weavers,30/10/2019 22:29,0.439,174.08
Glenelg,Glenelg,Weavers,30/10/2019 23:29,0.437,174.08
Glenelg,Glenelg,Weavers,31/10/2019 0:29,0.434,174.08
Glenelg,Glenelg,Weavers,31/10/2019 1:29,0.433,174.08
Glenelg,Glenelg,Weavers,31/10/2019 2:29,0.431,174.07
Glenelg,Glenelg,Weavers,31/10/2019 3:29,0.429,174.07
Glenelg,Glenelg,Weavers,31/10/2019 4:29,0.427,174.07
