SYSTEM,WATERWAY,SITE,Datetime,Water_Level_m,Water_Level_m_AHD
Wimmera,Mackenzie,Laharum,19/06/2019 11:30,0.159,187.74
Wimmera,Mackenzie,Laharum,19/06/2019 12:30,0.159,187.74
Wimmera,Mackenzie,Laharum,19/06/2019 13:30,0.156,187.74
Wimmera,Mackenzie,Laharum,19/06/2019 14:30,0.158,187.74
Wimmera,Mackenzie,Laharum,19/06/2019 15:30,0.16,187.74
Wimmera,Mackenzie,Laharum,19/06/2019 16:30,0.156,187.74
Wimmera,Mackenzie,Laharum,19/06/2019 17:30,0.159,187.74
Wimmera,Mackenzie,Laharum,19/06/2019 18:30,0.152,187.73
Wimmera,Mackenzie,Laharum,19/06/2019 19:30,0.151,187.73
Wimmera,Mackenzie,Laharum,19/06/2019 20:30,0.147,187.73
Wimmera,Mackenzie,Laharum,19/06/2019 21:30,0.152,187.73
Wimmera,Mackenzie,Laharum,19/06/2019 22:30,0.149,187.73
Wimmera,Mackenzie,Laharum,19/06/2019 23:30,0.146,187.73
Wimmera,Mackenzie,Laharum,20/06/2019 0:30,0.146,187.73
Wimmera,Mackenzie,Laharum,20/06/2019 1:30,0.146,187.73
Wimmera,Mackenzie,Laharum,20/06/2019 2:30,0.146,187.73
Wimmera,Mackenzie,Laharum,20/06/2019 3:30,0.143,187.72
Wimmera,Mackenzie,Laharum,20/06/2019 4:30,0.143,187.72
Wimmera,Mackenzie,Laharum,20/06/2019 5:30,0.144,187.72
Wimmera,Mackenzie,Laharum,20/06/2019 6:30,0.141,187.72
Wimmera,Mackenzie,Laharum,20/06/2019 7:30,0.14,187.72
Wimmera,Mackenzie,Laharum,20/06/2019 8:30,0.134,187.71
Wimmera,Mackenzie,Laharum,20/06/2019 9:30,0.138,187.72
Wimmera,Mackenzie,Laharum,20/06/2019 10:30,0.137,187.72
Wimmera,Mackenzie,Laharum,20/06/2019 11:30,0.141,187.72
Wimmera,Mackenzie,Laharum,20/06/2019 12:30,0.136,187.72
Wimmera,Mackenzie,Laharum,20/06/2019 13:30,0.141,187.72
Wimmera,Mackenzie,Laharum,20/06/2019 14:30,0.135,187.72
Wimmera,Mackenzie,Laharum,20/06/2019 15:30,0.143,187.72
Wimmera,Mackenzie,Laharum,20/06/2019 16:30,0.143,187.72
Wimmera,Mackenzie,Laharum,20/06/2019 17:30,0.141,187.72
Wimmera,Mackenzie,Laharum,20/06/2019 18:30,0.14,187.72
Wimmera,Mackenzie,Laharum,20/06/2019 19:30,0.142,187.72
Wimmera,Mackenzie,Laharum,20/06/2019 20:30,0.138,187.72
Wimmera,Mackenzie,Laharum,20/06/2019 21:30,0.138,187.72
Wimmera,Mackenzie,Laharum,20/06/2019 22:30,0.137,187.72
Wimmera,Mackenzie,Laharum,20/06/2019 23:30,0.132,187.71
Wimmera,Mackenzie,Laharum,21/06/2019 0:30,0.134,187.71
Wimmera,Mackenzie,Laharum,21/06/2019 1:30,0.132,187.71
Wimmera,Mackenzie,Laharum,21/06/2019 2:30,0.129,187.71
Wimmera,Mackenzie,Laharum,21/06/2019 3:30,0.129,187.71
Wimmera,Mackenzie,Laharum,21/06/2019 4:30,0.127,187.71
Wimmera,Mackenzie,Laharum,21/06/2019 5:30,0.126,187.71
Wimmera,Mackenzie,Laharum,21/06/2019 6:30,0.124,187.70
Wimmera,Mackenzie,Laharum,21/06/2019 7:30,0.126,187.71
Wimmera,Mackenzie,Laharum,21/06/2019 8:30,0.125,187.71
Wimmera,Mackenzie,Laharum,21/06/2019 9:30,0.13,187.71
Wimmera,Mackenzie,Laharum,21/06/2019 10:30,0.135,187.72
Wimmera,Mackenzie,Laharum,21/06/2019 11:30,0.136,187.72
Wimmera,Mackenzie,Laharum,21/06/2019 12:30,0.136,187.72
Wimmera,Mackenzie,Laharum,21/06/2019 13:30,0.14,187.72
Wimmera,Mackenzie,Laharum,21/06/2019 14:30,0.137,187.72
Wimmera,Mackenzie,Laharum,21/06/2019 15:30,0.143,187.72
Wimmera,Mackenzie,Laharum,21/06/2019 16:30,0.139,187.72
Wimmera,Mackenzie,Laharum,21/06/2019 17:30,0.147,187.73
Wimmera,Mackenzie,Laharum,21/06/2019 18:30,0.142,187.72
Wimmera,Mackenzie,Laharum,21/06/2019 19:30,0.14,187.72
Wimmera,Mackenzie,Laharum,21/06/2019 20:30,0.134,187.71
Wimmera,Mackenzie,Laharum,21/06/2019 21:30,0.135,187.72
Wimmera,Mackenzie,Laharum,21/06/2019 22:30,0.13,187.71
Wimmera,Mackenzie,Laharum,21/06/2019 23:30,0.129,187.71
Wimmera,Mackenzie,Laharum,22/06/2019 0:30,0.123,187.70
Wimmera,Mackenzie,Laharum,22/06/2019 1:30,0.123,187.70
Wimmera,Mackenzie,Laharum,22/06/2019 2:30,0.118,187.70
Wimmera,Mackenzie,Laharum,22/06/2019 3:30,0.116,187.70
Wimmera,Mackenzie,Laharum,22/06/2019 4:30,0.111,187.69
Wimmera,Mackenzie,Laharum,22/06/2019 5:30,0.109,187.69
Wimmera,Mackenzie,Laharum,22/06/2019 6:30,0.11,187.69
Wimmera,Mackenzie,Laharum,22/06/2019 7:30,0.109,187.69
Wimmera,Mackenzie,Laharum,22/06/2019 8:30,0.103,187.68
Wimmera,Mackenzie,Laharum,22/06/2019 9:30,0.104,187.68
Wimmera,Mackenzie,Laharum,22/06/2019 10:30,0.11,187.69
Wimmera,Mackenzie,Laharum,22/06/2019 11:30,0.112,187.69
Wimmera,Mackenzie,Laharum,22/06/2019 12:30,0.109,187.69
Wimmera,Mackenzie,Laharum,22/06/2019 13:30,0.104,187.68
Wimmera,Mackenzie,Laharum,22/06/2019 14:30,0.107,187.69
Wimmera,Mackenzie,Laharum,22/06/2019 15:30,0.108,187.69
Wimmera,Mackenzie,Laharum,22/06/2019 16:30,0.105,187.69
Wimmera,Mackenzie,Laharum,22/06/2019 17:30,0.102,187.68
Wimmera,Mackenzie,Laharum,22/06/2019 18:30,0.104,187.68
Wimmera,Mackenzie,Laharum,22/06/2019 19:30,0.099,187.68
Wimmera,Mackenzie,Laharum,22/06/2019 20:30,0.096,187.68
Wimmera,Mackenzie,Laharum,22/06/2019 21:30,0.096,187.68
Wimmera,Mackenzie,Laharum,22/06/2019 22:30,0.092,187.67
Wimmera,Mackenzie,Laharum,22/06/2019 23:30,0.09,187.67
Wimmera,Mackenzie,Laharum,23/06/2019 0:30,0.086,187.67
Wimmera,Mackenzie,Laharum,23/06/2019 1:30,0.088,187.67
Wimmera,Mackenzie,Laharum,23/06/2019 2:30,0.087,187.67
Wimmera,Mackenzie,Laharum,23/06/2019 3:30,0.081,187.66
Wimmera,Mackenzie,Laharum,23/06/2019 4:30,0.082,187.66
Wimmera,Mackenzie,Laharum,23/06/2019 5:30,0.077,187.66
Wimmera,Mackenzie,Laharum,23/06/2019 6:30,0.078,187.66
Wimmera,Mackenzie,Laharum,23/06/2019 7:30,0.075,187.66
Wimmera,Mackenzie,Laharum,23/06/2019 8:30,0.079,187.66
Wimmera,Mackenzie,Laharum,23/06/2019 9:30,0.076,187.66
Wimmera,Mackenzie,Laharum,23/06/2019 10:30,0.083,187.66
Wimmera,Mackenzie,Laharum,23/06/2019 11:30,0.083,187.66
Wimmera,Mackenzie,Laharum,23/06/2019 12:30,0.078,187.66
Wimmera,Mackenzie,Laharum,23/06/2019 13:30,0.083,187.66
Wimmera,Mackenzie,Laharum,23/06/2019 14:30,0.082,187.66
Wimmera,Mackenzie,Laharum,23/06/2019 15:30,0.081,187.66
Wimmera,Mackenzie,Laharum,23/06/2019 16:30,0.084,187.66
Wimmera,Mackenzie,Laharum,23/06/2019 17:30,0.08,187.66
Wimmera,Mackenzie,Laharum,23/06/2019 18:30,0.079,187.66
Wimmera,Mackenzie,Laharum,23/06/2019 19:30,0.068,187.65
Wimmera,Mackenzie,Laharum,23/06/2019 20:30,0.067,187.65
Wimmera,Mackenzie,Laharum,23/06/2019 21:30,0.068,187.65
Wimmera,Mackenzie,Laharum,23/06/2019 22:30,0.064,187.64
Wimmera,Mackenzie,Laharum,23/06/2019 23:30,0.061,187.64
Wimmera,Mackenzie,Laharum,24/06/2019 0:30,0.061,187.64
Wimmera,Mackenzie,Laharum,24/06/2019 1:30,0.058,187.64
Wimmera,Mackenzie,Laharum,24/06/2019 2:30,0.059,187.64
Wimmera,Mackenzie,Laharum,24/06/2019 3:30,0.055,187.64
Wimmera,Mackenzie,Laharum,24/06/2019 4:30,0.054,187.63
Wimmera,Mackenzie,Laharum,24/06/2019 5:30,0.054,187.63
Wimmera,Mackenzie,Laharum,24/06/2019 6:30,0.047,187.63
Wimmera,Mackenzie,Laharum,24/06/2019 7:30,0.048,187.63
Wimmera,Mackenzie,Laharum,24/06/2019 8:30,0.044,187.62
Wimmera,Mackenzie,Laharum,24/06/2019 9:30,0.047,187.63
Wimmera,Mackenzie,Laharum,24/06/2019 10:30,0.051,187.63
Wimmera,Mackenzie,Laharum,24/06/2019 11:30,0.059,187.64
Wimmera,Mackenzie,Laharum,24/06/2019 12:30,0.061,187.64
Wimmera,Mackenzie,Laharum,24/06/2019 13:30,0.056,187.64
Wimmera,Mackenzie,Laharum,24/06/2019 14:30,0.066,187.65
Wimmera,Mackenzie,Laharum,24/06/2019 15:30,0.059,187.64
Wimmera,Mackenzie,Laharum,24/06/2019 16:30,0.066,187.65
Wimmera,Mackenzie,Laharum,24/06/2019 17:30,0.06,187.64
Wimmera,Mackenzie,Laharum,24/06/2019 18:30,0.06,187.64
Wimmera,Mackenzie,Laharum,24/06/2019 19:30,0.056,187.64
Wimmera,Mackenzie,Laharum,24/06/2019 20:30,0.055,187.64
Wimmera,Mackenzie,Laharum,24/06/2019 21:30,0.061,187.64
Wimmera,Mackenzie,Laharum,24/06/2019 22:30,0.056,187.64
Wimmera,Mackenzie,Laharum,24/06/2019 23:30,0.059,187.64
Wimmera,Mackenzie,Laharum,25/06/2019 0:30,0.06,187.64
Wimmera,Mackenzie,Laharum,25/06/2019 1:30,0.057,187.64
Wimmera,Mackenzie,Laharum,25/06/2019 2:30,0.057,187.64
Wimmera,Mackenzie,Laharum,25/06/2019 3:30,0.054,187.63
Wimmera,Mackenzie,Laharum,25/06/2019 4:30,0.055,187.64
Wimmera,Mackenzie,Laharum,25/06/2019 5:30,0.053,187.63
Wimmera,Mackenzie,Laharum,25/06/2019 6:30,0.056,187.64
Wimmera,Mackenzie,Laharum,25/06/2019 7:30,0.051,187.63
Wimmera,Mackenzie,Laharum,25/06/2019 8:30,0.053,187.63
Wimmera,Mackenzie,Laharum,25/06/2019 9:30,0.052,187.63
Wimmera,Mackenzie,Laharum,25/06/2019 10:30,0.052,187.63
Wimmera,Mackenzie,Laharum,25/06/2019 11:30,0.05,187.63
Wimmera,Mackenzie,Laharum,25/06/2019 12:30,0.048,187.63
Wimmera,Mackenzie,Laharum,25/06/2019 13:30,0.05,187.63
Wimmera,Mackenzie,Laharum,25/06/2019 14:30,0.049,187.63
Wimmera,Mackenzie,Laharum,25/06/2019 15:30,0.054,187.63
Wimmera,Mackenzie,Laharum,25/06/2019 16:30,0.059,187.64
Wimmera,Mackenzie,Laharum,25/06/2019 17:30,0.047,187.63
Wimmera,Mackenzie,Laharum,25/06/2019 18:30,0.055,187.64
Wimmera,Mackenzie,Laharum,25/06/2019 19:30,0.052,187.63
Wimmera,Mackenzie,Laharum,25/06/2019 20:30,0.047,187.63
Wimmera,Mackenzie,Laharum,25/06/2019 21:30,0.045,187.63
Wimmera,Mackenzie,Laharum,25/06/2019 22:30,0.045,187.63
Wimmera,Mackenzie,Laharum,25/06/2019 23:30,0.04,187.62
Wimmera,Mackenzie,Laharum,26/06/2019 0:30,0.04,187.62
Wimmera,Mackenzie,Laharum,26/06/2019 1:30,0.034,187.61
Wimmera,Mackenzie,Laharum,26/06/2019 2:30,0.036,187.62
Wimmera,Mackenzie,Laharum,26/06/2019 3:30,0.032,187.61
Wimmera,Mackenzie,Laharum,26/06/2019 4:30,0.033,187.61
Wimmera,Mackenzie,Laharum,26/06/2019 5:30,0.035,187.62
Wimmera,Mackenzie,Laharum,26/06/2019 6:30,0.031,187.61
Wimmera,Mackenzie,Laharum,26/06/2019 7:30,0.031,187.61
Wimmera,Mackenzie,Laharum,26/06/2019 8:30,0.025,187.61
Wimmera,Mackenzie,Laharum,26/06/2019 9:30,0.034,187.61
Wimmera,Mackenzie,Laharum,26/06/2019 10:30,0.04,187.62
Wimmera,Mackenzie,Laharum,26/06/2019 11:30,0.04,187.62
Wimmera,Mackenzie,Laharum,26/06/2019 12:30,0.041,187.62
Wimmera,Mackenzie,Laharum,26/06/2019 13:30,0.038,187.62
Wimmera,Mackenzie,Laharum,26/06/2019 14:30,0.04,187.62
Wimmera,Mackenzie,Laharum,26/06/2019 15:30,0.043,187.62
Wimmera,Mackenzie,Laharum,26/06/2019 16:30,0.039,187.62
Wimmera,Mackenzie,Laharum,26/06/2019 17:30,0.047,187.63
Wimmera,Mackenzie,Laharum,26/06/2019 18:30,0.041,187.62
Wimmera,Mackenzie,Laharum,26/06/2019 19:30,0.04,187.62
Wimmera,Mackenzie,Laharum,26/06/2019 20:30,0.036,187.62
Wimmera,Mackenzie,Laharum,26/06/2019 21:30,0.035,187.62
Wimmera,Mackenzie,Laharum,26/06/2019 22:30,0.04,187.62
Wimmera,Mackenzie,Laharum,26/06/2019 23:30,0.039,187.62
Wimmera,Mackenzie,Laharum,27/06/2019 0:30,0.032,187.61
Wimmera,Mackenzie,Laharum,27/06/2019 1:30,0.036,187.62
Wimmera,Mackenzie,Laharum,27/06/2019 2:30,0.038,187.62
Wimmera,Mackenzie,Laharum,27/06/2019 3:30,0.037,187.62
Wimmera,Mackenzie,Laharum,27/06/2019 4:30,0.038,187.62
Wimmera,Mackenzie,Laharum,27/06/2019 5:30,0.037,187.62
Wimmera,Mackenzie,Laharum,27/06/2019 6:30,0.034,187.61
Wimmera,Mackenzie,Laharum,27/06/2019 7:30,0.039,187.62
Wimmera,Mackenzie,Laharum,27/06/2019 8:30,0.037,187.62
Wimmera,Mackenzie,Laharum,27/06/2019 9:30,0.033,187.61
Wimmera,Mackenzie,Laharum,27/06/2019 10:30,0.032,187.61
Wimmera,Mackenzie,Laharum,27/06/2019 11:30,0.028,187.61
Wimmera,Mackenzie,Laharum,27/06/2019 12:30,0.029,187.61
Wimmera,Mackenzie,Laharum,27/06/2019 13:30,0.034,187.61
Wimmera,Mackenzie,Laharum,27/06/2019 14:30,0.032,187.61
Wimmera,Mackenzie,Laharum,27/06/2019 15:30,0.032,187.61
Wimmera,Mackenzie,Laharum,27/06/2019 16:30,0.038,187.62
Wimmera,Mackenzie,Laharum,27/06/2019 17:30,0.036,187.62
Wimmera,Mackenzie,Laharum,27/06/2019 18:30,0.021,187.60
Wimmera,Mackenzie,Laharum,27/06/2019 19:30,0.034,187.61
Wimmera,Mackenzie,Laharum,27/06/2019 20:30,0.034,187.61
Wimmera,Mackenzie,Laharum,27/06/2019 21:30,0.036,187.62
Wimmera,Mackenzie,Laharum,27/06/2019 22:30,0.036,187.62
Wimmera,Mackenzie,Laharum,27/06/2019 23:30,0.03,187.61
Wimmera,Mackenzie,Laharum,28/06/2019 0:30,0.033,187.61
Wimmera,Mackenzie,Laharum,28/06/2019 1:30,0.027,187.61
Wimmera,Mackenzie,Laharum,28/06/2019 2:30,0.03,187.61
Wimmera,Mackenzie,Laharum,28/06/2019 3:30,0.034,187.61
Wimmera,Mackenzie,Laharum,28/06/2019 4:30,0.033,187.61
Wimmera,Mackenzie,Laharum,28/06/2019 5:30,0.034,187.61
Wimmera,Mackenzie,Laharum,28/06/2019 6:30,0.029,187.61
Wimmera,Mackenzie,Laharum,28/06/2019 7:30,0.033,187.61
Wimmera,Mackenzie,Laharum,28/06/2019 8:30,0.031,187.61
Wimmera,Mackenzie,Laharum,28/06/2019 9:30,0.034,187.61
