SYSTEM,WATERWAY,SITE,Datetime,Water_Level_m,Water_Level_m_AHD
Wimmera,Mt William,RosesGap,31/07/2017 15:00,0.063,167.78
Wimmera,Mt William,RosesGap,31/07/2017 16:00,0.057,167.77
Wimmera,Mt William,RosesGap,31/07/2017 17:00,0.061,167.78
Wimmera,Mt William,RosesGap,31/07/2017 18:00,0.061,167.78
Wimmera,Mt William,RosesGap,31/07/2017 19:00,0.062,167.78
Wimmera,Mt William,RosesGap,31/07/2017 20:00,0.056,167.77
Wimmera,Mt William,RosesGap,31/07/2017 21:00,0.06,167.78
Wimmera,Mt William,RosesGap,31/07/2017 22:00,0.051,167.77
Wimmera,Mt William,RosesGap,31/07/2017 23:00,0.052,167.77
Wimmera,Mt William,RosesGap,1/08/2017 0:00,0.05,167.77
Wimmera,Mt William,RosesGap,1/08/2017 1:00,0.051,167.77
Wimmera,Mt William,RosesGap,1/08/2017 2:00,0.051,167.77
Wimmera,Mt William,RosesGap,1/08/2017 3:00,0.048,167.76
Wimmera,Mt William,RosesGap,1/08/2017 4:00,0.045,167.76
Wimmera,Mt William,RosesGap,1/08/2017 5:00,0.042,167.76
Wimmera,Mt William,RosesGap,1/08/2017 6:00,0.043,167.76
Wimmera,Mt William,RosesGap,1/08/2017 7:00,0.039,167.76
Wimmera,Mt William,RosesGap,1/08/2017 8:00,0.038,167.75
Wimmera,Mt William,RosesGap,1/08/2017 9:00,0.044,167.76
Wimmera,Mt William,RosesGap,1/08/2017 10:00,0.038,167.75
Wimmera,Mt William,RosesGap,1/08/2017 11:00,0.042,167.76
Wimmera,Mt William,RosesGap,1/08/2017 12:00,0.044,167.76
Wimmera,Mt William,RosesGap,1/08/2017 13:00,0.036,167.75
Wimmera,Mt William,RosesGap,1/08/2017 14:00,0.035,167.75
Wimmera,Mt William,RosesGap,1/08/2017 15:00,0.033,167.75
Wimmera,Mt William,RosesGap,1/08/2017 16:00,0.037,167.75
Wimmera,Mt William,RosesGap,1/08/2017 17:00,0.038,167.75
Wimmera,Mt William,RosesGap,1/08/2017 18:00,0.038,167.75
Wimmera,Mt William,RosesGap,1/08/2017 19:00,0.042,167.76
Wimmera,Mt William,RosesGap,1/08/2017 20:00,0.043,167.76
Wimmera,Mt William,RosesGap,1/08/2017 21:00,0.043,167.76
Wimmera,Mt William,RosesGap,1/08/2017 22:00,0.043,167.76
Wimmera,Mt William,RosesGap,1/08/2017 23:00,0.042,167.76
Wimmera,Mt William,RosesGap,2/08/2017 0:00,0.038,167.75
Wimmera,Mt William,RosesGap,2/08/2017 1:00,0.038,167.75
Wimmera,Mt William,RosesGap,2/08/2017 2:00,0.04,167.76
Wimmera,Mt William,RosesGap,2/08/2017 3:00,0.041,167.76
Wimmera,Mt William,RosesGap,2/08/2017 4:00,0.036,167.75
Wimmera,Mt William,RosesGap,2/08/2017 5:00,0.038,167.75
Wimmera,Mt William,RosesGap,2/08/2017 6:00,0.032,167.75
Wimmera,Mt William,RosesGap,2/08/2017 7:00,0.028,167.74
Wimmera,Mt William,RosesGap,2/08/2017 8:00,0.03,167.75
Wimmera,Mt William,RosesGap,2/08/2017 9:00,0.028,167.74
Wimmera,Mt William,RosesGap,2/08/2017 10:00,0.034,167.75
Wimmera,Mt William,RosesGap,2/08/2017 11:00,0.038,167.75
Wimmera,Mt William,RosesGap,2/08/2017 12:00,0.027,167.74
Wimmera,Mt William,RosesGap,2/08/2017 13:00,0.022,167.74
Wimmera,Mt William,RosesGap,2/08/2017 14:00,0.026,167.74
Wimmera,Mt William,RosesGap,2/08/2017 15:00,0.03,167.75
Wimmera,Mt William,RosesGap,2/08/2017 16:00,0.026,167.74
Wimmera,Mt William,RosesGap,2/08/2017 17:00,0.029,167.75
Wimmera,Mt William,RosesGap,2/08/2017 18:00,0.027,167.74
Wimmera,Mt William,RosesGap,2/08/2017 19:00,0.031,167.75
Wimmera,Mt William,RosesGap,2/08/2017 20:00,0.032,167.75
Wimmera,Mt William,RosesGap,2/08/2017 21:00,0.032,167.75
Wimmera,Mt William,RosesGap,2/08/2017 22:00,0.028,167.74
Wimmera,Mt William,RosesGap,2/08/2017 23:00,0.032,167.75
Wimmera,Mt William,RosesGap,3/08/2017 0:00,0.029,167.75
Wimmera,Mt William,RosesGap,3/08/2017 1:00,0.024,167.74
Wimmera,Mt William,RosesGap,3/08/2017 2:00,0.028,167.74
Wimmera,Mt William,RosesGap,3/08/2017 3:00,0.032,167.75
Wimmera,Mt William,RosesGap,3/08/2017 4:00,0.03,167.75
Wimmera,Mt William,RosesGap,3/08/2017 5:00,0.029,167.75
Wimmera,Mt William,RosesGap,3/08/2017 6:00,0.029,167.75
