SYSTEM,WATERWAY,SITE,Datetime,Water_Level_m,Water_Level_m_AHD
Wimmera,Mt William,Tobacco,1/08/2017 9:00,0.198,171.616
Wimmera,Mt William,Tobacco,1/08/2017 10:00,0.174,171.592
Wimmera,Mt William,Tobacco,1/08/2017 11:00,0.166,171.584
Wimmera,Mt William,Tobacco,1/08/2017 12:00,0.178,171.596
Wimmera,Mt William,Tobacco,1/08/2017 13:00,0.173,171.591
Wimmera,Mt William,Tobacco,1/08/2017 14:00,0.167,171.585
Wimmera,Mt William,Tobacco,1/08/2017 15:00,0.177,171.595
Wimmera,Mt William,Tobacco,1/08/2017 16:00,0.163,171.581
Wimmera,Mt William,Tobacco,1/08/2017 17:00,0.165,171.583
Wimmera,Mt William,Tobacco,1/08/2017 18:00,0.125,171.543
Wimmera,Mt William,Tobacco,1/08/2017 19:00,0.128,171.546
Wimmera,Mt William,Tobacco,1/08/2017 20:00,0.129,171.547
Wimmera,Mt William,Tobacco,1/08/2017 21:00,0.128,171.546
Wimmera,Mt William,Tobacco,1/08/2017 22:00,0.128,171.546
Wimmera,Mt William,Tobacco,1/08/2017 23:00,0.129,171.547
Wimmera,Mt William,Tobacco,2/08/2017 0:00,0.121,171.539
Wimmera,Mt William,Tobacco,2/08/2017 1:00,0.129,171.547
Wimmera,Mt William,Tobacco,2/08/2017 2:00,0.129,171.547
Wimmera,Mt William,Tobacco,2/08/2017 3:00,0.126,171.544
Wimmera,Mt William,Tobacco,2/08/2017 4:00,0.127,171.545
Wimmera,Mt William,Tobacco,2/08/2017 5:00,0.126,171.544
Wimmera,Mt William,Tobacco,2/08/2017 6:00,0.126,171.544
Wimmera,Mt William,Tobacco,2/08/2017 7:00,0.121,171.539
Wimmera,Mt William,Tobacco,2/08/2017 8:00,0.122,171.54
Wimmera,Mt William,Tobacco,2/08/2017 9:00,0.12,171.538
Wimmera,Mt William,Tobacco,2/08/2017 10:00,0.122,171.54
Wimmera,Mt William,Tobacco,2/08/2017 11:00,0.127,171.545
Wimmera,Mt William,Tobacco,2/08/2017 12:00,0.122,171.54
Wimmera,Mt William,Tobacco,2/08/2017 13:00,0.121,171.539
Wimmera,Mt William,Tobacco,2/08/2017 14:00,0.126,171.544
Wimmera,Mt William,Tobacco,2/08/2017 15:00,0.138,171.556
Wimmera,Mt William,Tobacco,2/08/2017 16:00,0.142,171.56
Wimmera,Mt William,Tobacco,2/08/2017 17:00,0.125,171.543
Wimmera,Mt William,Tobacco,2/08/2017 18:00,0.131,171.549
Wimmera,Mt William,Tobacco,2/08/2017 19:00,0.127,171.545
Wimmera,Mt William,Tobacco,2/08/2017 20:00,0.124,171.542
Wimmera,Mt William,Tobacco,2/08/2017 21:00,0.124,171.542
Wimmera,Mt William,Tobacco,2/08/2017 22:00,0.122,171.54
Wimmera,Mt William,Tobacco,2/08/2017 23:00,0.125,171.543
Wimmera,Mt William,Tobacco,3/08/2017 0:00,0.124,171.542
Wimmera,Mt William,Tobacco,3/08/2017 1:00,0.121,171.539
Wimmera,Mt William,Tobacco,3/08/2017 2:00,0.128,171.546
Wimmera,Mt William,Tobacco,3/08/2017 3:00,0.126,171.544
Wimmera,Mt William,Tobacco,3/08/2017 4:00,0.127,171.545
Wimmera,Mt William,Tobacco,3/08/2017 5:00,0.127,171.545
Wimmera,Mt William,Tobacco,3/08/2017 6:00,0.128,171.546
Wimmera,Mt William,Tobacco,3/08/2017 7:00,0.134,171.552
Wimmera,Mt William,Tobacco,3/08/2017 8:00,0.132,171.55
Wimmera,Mt William,Tobacco,3/08/2017 9:00,0.128,171.546
Wimmera,Mt William,Tobacco,3/08/2017 10:00,0.129,171.547
Wimmera,Mt William,Tobacco,3/08/2017 11:00,0.132,171.55
Wimmera,Mt William,Tobacco,3/08/2017 12:00,0.139,171.557
Wimmera,Mt William,Tobacco,3/08/2017 13:00,0.135,171.553
Wimmera,Mt William,Tobacco,3/08/2017 14:00,0.135,171.553
Wimmera,Mt William,Tobacco,3/08/2017 15:00,0.143,171.561
Wimmera,Mt William,Tobacco,3/08/2017 16:00,0.14,171.558
Wimmera,Mt William,Tobacco,3/08/2017 17:00,0.138,171.556
