...1,Raw level (m),Qual,AHD level (m)
2018-01-01T00:15:00Z,0.711,15,36.556999999999995
2018-01-01T00:30:00Z,0.709,15,0.709
2018-01-01T00:45:00Z,0.706,15,0.706
2018-01-01T01:00:00Z,0.703,15,0.703
2018-01-01T01:15:00Z,0.7,15,0.7
2018-01-01T01:30:00Z,0.697,15,0.697
2018-01-01T01:45:00Z,0.694,15,0.694
2018-01-01T02:00:00Z,0.69,15,0.69
2018-01-01T02:15:00Z,0.686,15,0.686
2018-01-01T02:30:00Z,0.682,15,0.682
2018-01-01T02:45:00Z,0.679,15,0.679
2018-01-01T03:00:00Z,0.675,15,0.675
2018-01-01T03:15:00Z,0.671,15,0.671
2018-01-01T03:30:00Z,0.668,15,0.668
2018-01-01T03:45:00Z,0.664,15,0.664
2018-01-01T04:00:00Z,0.66,15,0.66
2018-01-01T04:15:00Z,0.657,15,0.657
2018-01-01T04:30:00Z,0.653,15,0.653
2018-01-01T04:45:00Z,0.65,15,0.65
2018-01-01T05:00:00Z,0.647,15,0.647
2018-01-01T05:15:00Z,0.644,15,0.644
2018-01-01T05:30:00Z,0.641,15,0.641
2018-01-01T05:45:00Z,0.639,15,0.639
2018-01-01T06:00:00Z,0.636,15,0.636
2018-01-01T06:15:00Z,0.634,15,0.634
2018-01-01T06:30:00Z,0.632,15,0.632
2018-01-01T06:45:00Z,0.63,15,0.63
2018-01-01T07:00:00Z,0.628,15,0.628
2018-01-01T07:15:00Z,0.626,15,0.626
2018-01-01T07:30:00Z,0.625,15,0.625
2018-01-01T07:45:00Z,0.623,15,0.623
2018-01-01T08:00:00Z,0.622,15,0.622
2018-01-01T08:15:00Z,0.621,15,0.621
2018-01-01T08:30:00Z,0.62,15,0.62
2018-01-01T08:45:00Z,0.619,15,0.619
2018-01-01T09:00:00Z,0.619,15,0.619
2018-01-01T09:15:00Z,0.619,15,0.619
2018-01-01T09:30:00Z,0.618,15,0.618
2018-01-01T09:45:00Z,0.618,15,0.618
2018-01-01T10:00:00Z,0.617,15,0.617
2018-01-01T10:15:00Z,0.617,15,0.617
2018-01-01T10:30:00Z,0.616,15,0.616
2018-01-01T10:45:00Z,0.615,15,0.615
2018-01-01T11:00:00Z,0.614,15,0.614
2018-01-01T11:15:00Z,0.613,15,0.613
2018-01-01T11:30:00Z,0.612,15,0.612
2018-01-01T11:45:00Z,0.611,15,0.611
2018-01-01T12:00:00Z,0.61,15,0.61
2018-01-01T12:15:00Z,0.609,15,0.609
2018-01-01T12:30:00Z,0.608,15,0.608
2018-01-01T12:45:00Z,0.607,15,0.607
2018-01-01T13:00:00Z,0.606,15,0.606
2018-01-01T13:15:00Z,0.605,15,0.605
2018-01-01T13:30:00Z,0.603,15,0.603
2018-01-01T13:45:00Z,0.602,15,0.602
2018-01-01T14:00:00Z,0.601,15,0.601
2018-01-01T14:15:00Z,0.6,15,0.6
2018-01-01T14:30:00Z,0.598,15,0.598
2018-01-01T14:45:00Z,0.597,15,0.597
2018-01-01T15:00:00Z,0.595,15,0.595
2018-01-01T15:15:00Z,0.594,15,0.594
2018-01-01T15:30:00Z,0.592,15,0.592
2018-01-01T15:45:00Z,0.591,15,0.591
2018-01-01T16:00:00Z,0.589,15,0.589
2018-01-01T16:15:00Z,0.587,15,0.587
2018-01-01T16:30:00Z,0.586,15,0.586
2018-01-01T16:45:00Z,0.584,15,0.584
2018-01-01T17:00:00Z,0.583,15,0.583
2018-01-01T17:15:00Z,0.581,15,0.581
2018-01-01T17:30:00Z,0.579,15,0.579
2018-01-01T17:45:00Z,0.577,15,0.577
2018-01-01T18:00:00Z,0.576,15,0.576
2018-01-01T18:15:00Z,0.574,15,0.574
2018-01-01T18:30:00Z,0.573,15,0.573
2018-01-01T18:45:00Z,0.572,15,0.572
2018-01-01T19:00:00Z,0.57,15,0.57
2018-01-01T19:15:00Z,0.569,15,0.569
2018-01-01T19:30:00Z,0.567,15,0.567
2018-01-01T19:45:00Z,0.565,15,0.565
2018-01-01T20:00:00Z,0.564,15,0.564
2018-01-01T20:15:00Z,0.563,15,0.563
2018-01-01T20:30:00Z,0.561,15,0.561
2018-01-01T20:45:00Z,0.56,15,0.56
2018-01-01T21:00:00Z,0.559,15,0.559
2018-01-01T21:15:00Z,0.557,15,0.557
2018-01-01T21:30:00Z,0.556,15,0.556
2018-01-01T21:45:00Z,0.555,15,0.555
2018-01-01T22:00:00Z,0.553,15,0.553
2018-01-01T22:15:00Z,0.552,15,0.552
2018-01-01T22:30:00Z,0.551,15,0.551
2018-01-01T22:45:00Z,0.55,15,0.55
2018-01-01T23:00:00Z,0.548,15,0.548
2018-01-01T23:15:00Z,0.547,15,0.547
2018-01-01T23:30:00Z,0.546,15,0.546
2018-01-01T23:45:00Z,0.545,15,0.545
2018-01-02T00:00:00Z,0.544,15,0.544
2018-01-02T00:15:00Z,0.542,15,0.542
2018-01-02T00:30:00Z,0.538,15,0.538
2018-01-02T00:45:00Z,0.535,15,0.535
2018-01-02T01:00:00Z,0.533,15,0.533
2018-01-02T01:15:00Z,0.531,15,0.531
2018-01-02T01:30:00Z,0.53,15,0.53
2018-01-02T01:45:00Z,0.529,15,0.529
2018-01-02T02:00:00Z,0.528,15,0.528
2018-01-02T02:15:00Z,0.526,15,0.526
2018-01-02T02:30:00Z,0.525,15,0.525
2018-01-02T02:45:00Z,0.524,15,0.524
2018-01-02T03:00:00Z,0.523,15,0.523
2018-01-02T03:15:00Z,0.521,15,0.521
2018-01-02T03:30:00Z,0.52,15,0.52
2018-01-02T03:45:00Z,0.518,15,0.518
2018-01-02T04:00:00Z,0.517,15,0.517
2018-01-02T04:15:00Z,0.516,15,0.516
2018-01-02T04:30:00Z,0.515,15,0.515
2018-01-02T04:45:00Z,0.514,15,0.514
2018-01-02T05:00:00Z,0.513,15,0.513
2018-01-02T05:15:00Z,0.512,15,0.512
2018-01-02T05:30:00Z,0.51,15,0.51
2018-01-02T05:45:00Z,0.509,15,0.509
2018-01-02T06:00:00Z,0.508,15,0.508
2018-01-02T06:15:00Z,0.507,15,0.507
2018-01-02T06:30:00Z,0.505,15,0.505
2018-01-02T06:45:00Z,0.504,15,0.504
2018-01-02T07:00:00Z,0.503,15,0.503
2018-01-02T07:15:00Z,0.501,15,0.501
2018-01-02T07:30:00Z,0.5,15,0.5
2018-01-02T07:45:00Z,0.499,15,0.499
2018-01-02T08:00:00Z,0.498,15,0.498
2018-01-02T08:15:00Z,0.497,15,0.497
2018-01-02T08:30:00Z,0.496,15,0.496
2018-01-02T08:45:00Z,0.495,15,0.495
2018-01-02T09:00:00Z,0.496,15,0.496
2018-01-02T09:15:00Z,0.496,15,0.496
2018-01-02T09:30:00Z,0.496,15,0.496
2018-01-02T09:45:00Z,0.496,15,0.496
2018-01-02T10:00:00Z,0.496,15,0.496
2018-01-02T10:15:00Z,0.495,15,0.495
2018-01-02T10:30:00Z,0.494,15,0.494
2018-01-02T10:45:00Z,0.493,15,0.493
2018-01-02T11:00:00Z,0.492,15,0.492
2018-01-02T11:15:00Z,0.491,15,0.491
2018-01-02T11:30:00Z,0.491,15,0.491
2018-01-02T11:45:00Z,0.49,15,0.49
2018-01-02T12:00:00Z,0.489,15,0.489
2018-01-02T12:15:00Z,0.488,15,0.488
2018-01-02T12:30:00Z,0.487,15,0.487
2018-01-02T12:45:00Z,0.486,15,0.486
2018-01-02T13:00:00Z,0.485,15,0.485
2018-01-02T13:15:00Z,0.484,15,0.484
2018-01-02T13:30:00Z,0.483,15,0.483
2018-01-02T13:45:00Z,0.483,15,0.483
2018-01-02T14:00:00Z,0.482,15,0.482
2018-01-02T14:15:00Z,0.481,15,0.481
2018-01-02T14:30:00Z,0.48,15,0.48
2018-01-02T14:45:00Z,0.479,15,0.479
2018-01-02T15:00:00Z,0.479,15,0.479
2018-01-02T15:15:00Z,0.478,15,0.478
2018-01-02T15:30:00Z,0.477,15,0.477
2018-01-02T15:45:00Z,0.476,15,0.476
2018-01-02T16:00:00Z,0.475,15,0.475
2018-01-02T16:15:00Z,0.474,15,0.474
2018-01-02T16:30:00Z,0.474,15,0.474
2018-01-02T16:45:00Z,0.473,15,0.473
2018-01-02T17:00:00Z,0.472,15,0.472
2018-01-02T17:15:00Z,0.471,15,0.471
2018-01-02T17:30:00Z,0.471,15,0.471
2018-01-02T17:45:00Z,0.47,15,0.47
2018-01-02T18:00:00Z,0.469,15,0.469
2018-01-02T18:15:00Z,0.468,15,0.468
2018-01-02T18:30:00Z,0.468,15,0.468
2018-01-02T18:45:00Z,0.467,15,0.467
2018-01-02T19:00:00Z,0.466,15,0.466
2018-01-02T19:15:00Z,0.465,15,0.465
2018-01-02T19:30:00Z,0.464,15,0.464
2018-01-02T19:45:00Z,0.463,15,0.463
2018-01-02T20:00:00Z,0.462,15,0.462
2018-01-02T20:15:00Z,0.461,15,0.461
2018-01-02T20:30:00Z,0.46,15,0.46
2018-01-02T20:45:00Z,0.459,15,0.459
2018-01-02T21:00:00Z,0.458,15,0.458
2018-01-02T21:15:00Z,0.458,15,0.458
2018-01-02T21:30:00Z,0.457,15,0.457
2018-01-02T21:45:00Z,0.456,15,0.456
2018-01-02T22:00:00Z,0.455,15,0.455
2018-01-02T22:15:00Z,0.454,15,0.454
2018-01-02T22:30:00Z,0.453,15,0.453
2018-01-02T22:45:00Z,0.452,15,0.452
2018-01-02T23:00:00Z,0.451,15,0.451
2018-01-02T23:15:00Z,0.45,15,0.45
2018-01-02T23:30:00Z,0.449,15,0.449
2018-01-02T23:45:00Z,0.448,15,0.448
2018-01-03T00:00:00Z,0.446,15,0.446
2018-01-03T00:15:00Z,0.445,15,0.445
2018-01-03T00:30:00Z,0.444,15,0.444
2018-01-03T00:45:00Z,0.443,15,0.443
2018-01-03T01:00:00Z,0.442,15,0.442
2018-01-03T01:15:00Z,0.441,15,0.441
2018-01-03T01:30:00Z,0.44,15,0.44
2018-01-03T01:45:00Z,0.439,15,0.439
2018-01-03T02:00:00Z,0.438,15,0.438
2018-01-03T02:15:00Z,0.438,15,0.438
2018-01-03T02:30:00Z,0.437,15,0.437
2018-01-03T02:45:00Z,0.437,15,0.437
2018-01-03T03:00:00Z,0.437,15,0.437
2018-01-03T03:15:00Z,0.436,15,0.436
2018-01-03T03:30:00Z,0.436,15,0.436
2018-01-03T03:45:00Z,0.436,15,0.436
2018-01-03T04:00:00Z,0.436,15,0.436
2018-01-03T04:15:00Z,0.436,15,0.436
2018-01-03T04:30:00Z,0.437,15,0.437
2018-01-03T04:45:00Z,0.437,15,0.437
2018-01-03T05:00:00Z,0.438,15,0.438
2018-01-03T05:15:00Z,0.439,15,0.439
2018-01-03T05:30:00Z,0.441,15,0.441
2018-01-03T05:45:00Z,0.442,15,0.442
2018-01-03T06:00:00Z,0.442,15,0.442
2018-01-03T06:15:00Z,0.443,15,0.443
2018-01-03T06:30:00Z,0.442,15,0.442
2018-01-03T06:45:00Z,0.442,15,0.442
2018-01-03T07:00:00Z,0.442,15,0.442
2018-01-03T07:15:00Z,0.442,15,0.442
2018-01-03T07:30:00Z,0.443,15,0.443
2018-01-03T07:45:00Z,0.443,15,0.443
2018-01-03T08:00:00Z,0.444,15,0.444
2018-01-03T08:15:00Z,0.444,15,0.444
2018-01-03T08:30:00Z,0.444,15,0.444
2018-01-03T08:45:00Z,0.444,15,0.444
2018-01-03T09:00:00Z,0.444,15,0.444
2018-01-03T09:15:00Z,0.445,15,0.445
2018-01-03T09:30:00Z,0.446,15,0.446
2018-01-03T09:45:00Z,0.446,15,0.446
2018-01-03T10:00:00Z,0.446,15,0.446
2018-01-03T10:15:00Z,0.446,15,0.446
2018-01-03T10:30:00Z,0.446,15,0.446
2018-01-03T10:45:00Z,0.447,15,0.447
2018-01-03T11:00:00Z,0.447,15,0.447
2018-01-03T11:15:00Z,0.449,15,0.449
2018-01-03T11:30:00Z,0.451,15,0.451
