SYSTEM,WATERWAY,SITE,Datetime,Water_Level_m,Water_Level_m_AHD
Loddon,Tullaroop,Mullins,11/12/2019 12:30,0.499,165.923
Loddon,Tullaroop,Mullins,11/12/2019 13:00,0.505,165.929
Loddon,Tullaroop,Mullins,11/12/2019 13:30,0.498,165.922
Loddon,Tullaroop,Mullins,11/12/2019 14:00,0.503,165.927
Loddon,Tullaroop,Mullins,11/12/2019 14:30,0.503,165.927
Loddon,Tullaroop,Mullins,11/12/2019 15:00,0.506,165.93
Loddon,Tullaroop,Mullins,11/12/2019 15:30,0.505,165.929
Loddon,Tullaroop,Mullins,11/12/2019 16:00,0.507,165.931
Loddon,Tullaroop,Mullins,11/12/2019 16:30,0.501,165.925
Loddon,Tullaroop,Mullins,11/12/2019 17:00,0.505,165.929
Loddon,Tullaroop,Mullins,11/12/2019 17:30,0.512,165.936
Loddon,Tullaroop,Mullins,11/12/2019 18:00,0.508,165.932
Loddon,Tullaroop,Mullins,11/12/2019 18:30,0.509,165.933
Loddon,Tullaroop,Mullins,11/12/2019 19:00,0.503,165.927
Loddon,Tullaroop,Mullins,11/12/2019 19:30,0.51,165.934
Loddon,Tullaroop,Mullins,11/12/2019 20:00,0.507,165.931
Loddon,Tullaroop,Mullins,11/12/2019 20:30,0.511,165.935
Loddon,Tullaroop,Mullins,11/12/2019 21:00,0.512,165.936
Loddon,Tullaroop,Mullins,11/12/2019 21:30,0.513,165.937
Loddon,Tullaroop,Mullins,11/12/2019 22:00,0.516,165.94
Loddon,Tullaroop,Mullins,11/12/2019 22:30,0.512,165.936
Loddon,Tullaroop,Mullins,11/12/2019 23:00,0.514,165.938
Loddon,Tullaroop,Mullins,11/12/2019 23:30,0.517,165.941
Loddon,Tullaroop,Mullins,12/12/2019 0:00,0.518,165.942
Loddon,Tullaroop,Mullins,12/12/2019 0:30,0.517,165.941
Loddon,Tullaroop,Mullins,12/12/2019 1:00,0.518,165.942
Loddon,Tullaroop,Mullins,12/12/2019 1:30,0.516,165.94
Loddon,Tullaroop,Mullins,12/12/2019 2:00,0.518,165.942
Loddon,Tullaroop,Mullins,12/12/2019 2:30,0.518,165.942
Loddon,Tullaroop,Mullins,12/12/2019 3:00,0.519,165.943
Loddon,Tullaroop,Mullins,12/12/2019 3:30,0.516,165.94
Loddon,Tullaroop,Mullins,12/12/2019 4:00,0.518,165.942
Loddon,Tullaroop,Mullins,12/12/2019 4:30,0.517,165.941
Loddon,Tullaroop,Mullins,12/12/2019 5:00,0.521,165.945
Loddon,Tullaroop,Mullins,12/12/2019 5:30,0.516,165.94
Loddon,Tullaroop,Mullins,12/12/2019 6:00,0.514,165.938
Loddon,Tullaroop,Mullins,12/12/2019 6:30,0.515,165.939
Loddon,Tullaroop,Mullins,12/12/2019 7:00,0.515,165.939
Loddon,Tullaroop,Mullins,12/12/2019 7:30,0.514,165.938
Loddon,Tullaroop,Mullins,12/12/2019 8:00,0.517,165.941
Loddon,Tullaroop,Mullins,12/12/2019 8:30,0.514,165.938
Loddon,Tullaroop,Mullins,12/12/2019 9:00,0.512,165.936
Loddon,Tullaroop,Mullins,12/12/2019 9:30,0.509,165.933
Loddon,Tullaroop,Mullins,12/12/2019 10:00,0.505,165.929
Loddon,Tullaroop,Mullins,12/12/2019 10:30,0.507,165.931
Loddon,Tullaroop,Mullins,12/12/2019 11:00,0.503,165.927
Loddon,Tullaroop,Mullins,12/12/2019 11:30,0.503,165.927
Loddon,Tullaroop,Mullins,12/12/2019 12:00,0.495,165.919
Loddon,Tullaroop,Mullins,12/12/2019 12:30,0.492,165.916
Loddon,Tullaroop,Mullins,12/12/2019 13:00,0.491,165.915
Loddon,Tullaroop,Mullins,12/12/2019 13:30,0.486,165.91
Loddon,Tullaroop,Mullins,12/12/2019 14:00,0.487,165.911
Loddon,Tullaroop,Mullins,12/12/2019 14:30,0.481,165.905
Loddon,Tullaroop,Mullins,12/12/2019 15:00,0.479,165.903
Loddon,Tullaroop,Mullins,12/12/2019 15:30,0.478,165.902
Loddon,Tullaroop,Mullins,12/12/2019 16:00,0.476,165.9
