SYSTEM,WATERWAY,SITE,TRANSECT,SUB_TRANS,METRES,SPECIES,ORIGIN,HITS,HEIGHT,DATE,SURVEY
Campaspe,Campaspe,Doaks,1,W,-1,Litter,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,W,-1,Bare,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,W,-1,Log,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,W,-1,Rock,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,W,-1,Water,ground,40,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,W,-1,Tree,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,W,-1,Moss/Lichen,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,W,-1,Paspalum dilatatum,exotic,3,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,A,0,Litter,ground,38,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,A,0,Bare,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,A,0,Log,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,A,0,Rock,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,A,0,Water,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,A,0,Tree,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,A,0,Moss/Lichen,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,A,0,Paspalum dilatatum,exotic,14,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,A,0,Bromus catharticus,exotic,6,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,A,0,Phalaris aquatica,exotic,2,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,B,1,Litter,ground,38,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,B,1,Bare,ground,2,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,B,1,Log,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,B,1,Rock,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,B,1,Water,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,B,1,Tree,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,B,1,Moss/Lichen,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,B,1,Exo,exotic,2,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,B,1,Bromus catharticus,exotic,3,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,B,1,Hypochaeris radicata,exotic,1,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,C,2,Litter,ground,31,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,C,2,Bare,ground,9,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,C,2,Log,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,C,2,Rock,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,C,2,Water,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,C,2,Tree,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,C,2,Moss/Lichen,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,C,2,Exo,exotic,3,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,C,2,Hypochaeris radicata,exotic,5,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,C,2,Oxalis perennans,native,1,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,C,2,Cynodon dactylon var. dactylon,exotic,9,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,C,2,Cirsium vulgare,exotic,3,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,C,2,Paspalum dilatatum,exotic,4,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,C,2,Bromus catharticus,exotic,5,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,C,2,Marrubium vulgare,exotic,3,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,D,3,Litter,ground,37,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,D,3,Bare,ground,3,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,D,3,Log,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,D,3,Rock,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,D,3,Water,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,D,3,Tree,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,D,3,Moss/Lichen,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,D,3,Ehrharta erecta var. erecta,exotic,1,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,D,3,Cirsium vulgare,exotic,4,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,D,3,Oxalis perennans,native,1,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,D,3,Rumex brownii,native,1,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,D,3,Rytidosperma caespitosum,native,2,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,D,3,Cynodon dactylon var. dactylon,exotic,2,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,D,3,Dicot,NA,2,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,D,3,Exo,exotic,2,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,D,3,Hypochaeris radicata,exotic,2,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,D,3,Sonchus oleraceus,exotic,1,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,D,3,Polygonum aviculare s.s.,exotic,2,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,D,3,Dactylis glomerata,exotic,1,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,E,4,Litter,ground,40,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,E,4,Bare,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,E,4,Log,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,E,4,Rock,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,E,4,Water,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,E,4,Tree,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,E,4,Moss/Lichen,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,E,4,Oxalis perennans,native,2,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,E,4,Dactylis glomerata,exotic,5,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,E,4,Hypochaeris radicata,exotic,2,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,E,4,Ehrharta erecta var. erecta,exotic,2,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,E,4,Lolium perenne,exotic,2,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,E,4,Exo,exotic,2,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,E,4,Cirsium vulgare,exotic,3,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,E,4,Bromus catharticus,exotic,4,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,1,E,4,Lepidium africanum,exotic,1,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,2,W,-1,Litter,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,2,W,-1,Bare,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,2,W,-1,Log,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,2,W,-1,Rock,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,2,W,-1,Water,ground,40,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,2,W,-1,Tree,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,2,W,-1,Moss/Lichen,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,2,A,0,Litter,ground,23,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,2,A,0,Bare,ground,15,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,2,A,0,Log,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,2,A,0,Rock,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,2,A,0,Water,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,2,A,0,Tree,ground,2,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,2,A,0,Moss/Lichen,ground,0,0_1m,30/01/2017,2
