RIVER,SITE,TRANSECT,SUB_TRANS,METRES,METRES,RECRUIT SPECIES,RECRUIT ORIGIN,RECRUIT COUNT,DATE,SURVEY,EXCLOSURE,Notes
Campaspe,Doaks,1,W,-1, -1 to 0,Nil,NA,0,21/08/2017,4,0,
Campaspe,Doaks,1,A,0,0 to 1,Cirsium vulgare,exotic,1,21/08/2017,4,0,
Campaspe,Doaks,1,B,1,1 to 2,Nil,NA,0,21/08/2017,4,0,
Campaspe,Doaks,1,C,2,2 to 3,Nil,NA,0,21/08/2017,4,0,
Campaspe,Doaks,1,D,3,3 to 4,Nil,NA,0,21/08/2017,4,0,
Campaspe,Doaks,2,W,-1, -1 to 0,Nil,NA,0,21/08/2017,4,0,
Campaspe,Doaks,2,A,0,0 to 1,Nil,NA,0,21/08/2017,4,0,
Campaspe,Doaks,2,B,1,1 to 2,Nil,NA,0,21/08/2017,4,0,
Campaspe,Doaks,2,C,2,2 to 3,Sonchus oleraceus,exotic,2,21/08/2017,4,0,
Campaspe,Doaks,2,D,3,3 to 4,Sonchus oleraceus,exotic,3,21/08/2017,4,0,
Campaspe,Doaks,4,W,-1, -1 to 0,Nil,NA,0,21/08/2017,4,0,
Campaspe,Doaks,4,A,0,0 to 1,Nil,NA,0,21/08/2017,4,0,
Campaspe,Doaks,4,B,1,1 to 2,Nil,NA,0,21/08/2017,4,0,
Campaspe,Doaks,4,C,2,2 to 3,Nil,NA,0,21/08/2017,4,0,
Campaspe,Doaks,4,D,3,3 to 4,Nil,NA,0,21/08/2017,4,0,
Campaspe,Doaks,4,E,4,4 to 5,Nil,NA,0,21/08/2017,4,0,
Campaspe,Doaks,4,F,5,5 to 6,Nil,NA,0,21/08/2017,4,0,
Campaspe,Doaks,4,G,6,6 to 7,Nil,NA,0,21/08/2017,4,0,
Campaspe,Doaks,3,W,-1, -1 to 0,Nil,NA,0,21/08/2017,4,0,
Campaspe,Doaks,3,A,0,0 to 1,Nil,NA,0,21/08/2017,4,0,
Campaspe,Doaks,3,B,1,1 to 2,Rumex crispus,exotic,1,21/08/2017,4,0,
Campaspe,Doaks,3,B,1,1 to 2,Sonchus oleraceus,exotic,1,21/08/2017,4,0,
Campaspe,Doaks,3,C,2,2 to 3,Sonchus oleraceus,exotic,1,21/08/2017,4,0,
Campaspe,Doaks,3,D,3,3 to 4,Nil,NA,0,21/08/2017,4,0,
Campaspe,Doaks,3,E,4,4 to 5,Nil,NA,0,21/08/2017,4,0,
Campaspe,Doaks,5,W,-1, -1 to 0,Nil,NA,0,21/08/2017,4,1,
Campaspe,Doaks,5,A,0,0 to 1,Nil,NA,0,21/08/2017,4,1,
Campaspe,Doaks,5,B,1,1 to 2,Nil,NA,0,21/08/2017,4,1,
Campaspe,Doaks,5,C,2,2 to 3,Nil,NA,0,21/08/2017,4,1,
Campaspe,Doaks,5,D,3,3 to 4,Nil,NA,0,21/08/2017,4,1,
Campaspe,Doaks,5,E,4,4 to 5,Nil,NA,0,21/08/2017,4,1,
Campaspe,Doaks,5,F,5,5 to 6,Sonchus oleraceus,exotic,1,21/08/2017,4,1,
Campaspe,Doaks,5,G,6,6 to 7,Arctotheca calendula,exotic,1,21/08/2017,4,1,
Campaspe,Doaks,5,H,7,7 to 8,Sub-transect 8 not recorded,,,,4,,
Campaspe,Doaks,6,W,-1, -1 to 0,Nil,NA,0,21/08/2017,4,0,
Campaspe,Doaks,6,A,0,0 to 1,Nil,NA,0,21/08/2017,4,0,
Campaspe,Doaks,6,B,1,1 to 2,Sonchus oleraceus,exotic,1,21/08/2017,4,0,
