SYSTEM,WATERWAY,SITE,TRANSECT,SUB_TRANS,METRES,SPECIES,ORIGIN,HITS,HEIGHT,DATE,SURVEY,EXCLOSURE,NOTES
Glenelg,Glenelg,Warrock,1,W,-1,Water,ground,40,0_1m,24/09/2018,1,0,
Glenelg,Glenelg,Warrock,1,W,-1,Kunzea ericoides spp. agg.,#N/A,7,0_1m,24/09/2018,1,0,
Glenelg,Glenelg,Warrock,1,W,-1,Cycnogeton procerum,#N/A,1,0_1m,24/09/2018,1,0,
Glenelg,Glenelg,Warrock,1,W,-1,Phragmites australis,native,34,0_1m,24/09/2018,1,0,
Glenelg,Glenelg,Warrock,1,A,0,Phragmites australis,native,32,0_1m,24/09/2018,1,0,
Glenelg,Glenelg,Warrock,1,A,0,Rumex spp.,native,1,0_1m,24/09/2018,1,0,
Glenelg,Glenelg,Warrock,1,A,0,Cycnogeton procerum,#N/A,6,0_1m,24/09/2018,1,0,
Glenelg,Glenelg,Warrock,1,A,0,Bare,ground,36,0_1m,24/09/2018,1,0,
Glenelg,Glenelg,Warrock,1,A,0,Litter,ground,4,0_1m,24/09/2018,1,0,
Glenelg,Glenelg,Warrock,1,A,0,Symphyotrichum subulatum,#N/A,3,0_1m,24/09/2018,1,0,
Glenelg,Glenelg,Warrock,1,A,0,Alternanthera denticulata,native,14,0_1m,24/09/2018,1,0,
Glenelg,Glenelg,Warrock,1,A,0,Lachnagrostis filiformis s.l.,native,1,0_1m,24/09/2018,1,0,
Glenelg,Glenelg,Warrock,1,B,1,Rumex spp.,native,6,0_1m,24/09/2018,1,0,
Glenelg,Glenelg,Warrock,1,B,1,Bare,ground,36,0_1m,24/09/2018,1,0,
Glenelg,Glenelg,Warrock,1,B,1,Litter,ground,4,0_1m,24/09/2018,1,0,
Glenelg,Glenelg,Warrock,1,B,1,Phragmites australis,native,1,0_1m,24/09/2018,1,0,
Glenelg,Glenelg,Warrock,1,B,1,Alternanthera denticulata,native,3,0_1m,24/09/2018,1,0,
Glenelg,Glenelg,Warrock,1,C,2,Log,ground,2,0_1m,24/09/2018,1,0,
Glenelg,Glenelg,Warrock,1,C,2,Bare,ground,19,0_1m,24/09/2018,1,0,
Glenelg,Glenelg,Warrock,1,C,2,Litter,ground,19,0_1m,24/09/2018,1,0,
Glenelg,Glenelg,Warrock,1,C,2,Rumex spp.,native,2,0_1m,24/09/2018,1,0,
