SYSTEM,WATERWAY,SITE,TRANSECT,SUB_TRANS,METRES,METRES,SPECIES,ORIGIN,COUNT,DATE,SURVEY,EXCLOSURE,Notes
Loddon,Loddon,Tullaroop Creek - Hood Street,10,W,-1, -1 to 0,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,10,A,0,0 to 1,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,10,B,1,1 to 2,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,10,C,2,2 to 3,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,10,D,3,3 to 4,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,9,W,-1, -1 to 0,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,9,A,0,0 to 1,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,9,B,1,1 to 2,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,9,C,2,2 to 3,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,8,W,-1, -1 to 0,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,8,A,0,0 to 1,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,8,B,1,1 to 2,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,8,C,2,2 to 3,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,8,C,2,2 to 3,Galium aparine,exotic,1,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,6,W,-1, -1 to 0,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,6,A,0,0 to 1,Galium aparine,exotic,1,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,6,A,0,0 to 1,Atriplex prostrata ,#N/A,1,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,6,A,0,0 to 1,Cirsium vulgare,exotic,2,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,6,B,1,1 to 2,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,3,W,-1, -1 to 0,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,3,A,0,0 to 1,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,3,B,1,1 to 2,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,3,C,2,2 to 3,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,7,W,-1, -1 to 0,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,7,A,0,0 to 1,Cerastium glomeratum s.l.,exotic,1,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,7,A,0,0 to 1,Cyperus eragrostis,exotic,25_50,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,7,A,0,0 to 1,Cynodon dactylon var. dactylon,exotic,6,25/09/2017,1,0,
