WATERWAY,SITE,TRANSECT,SUB_TRANS,METRES,SPECIES,ORIGIN,HITS,HEIGHT,DATE,SURVEY,EXCLOSURE,NOTES
Moorabool,Hunts Bridge,10,W,-1,Water,ground,40,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,W,-1,Phragmites australis,native,39,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,A,0,Rubus anglocandicans,exotic,1,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,A,0,Phragmites australis,native,38,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,A,0,Litter,ground,40,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,A,0,Rubus anglocandicans,exotic,5,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,B,1,Phragmites australis,native,35,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,B,1,Poa labillardierei var. labillardierei,native,4,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,B,1,Pteridium esculentum,native,7,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,B,1,Rubus anglocandicans,exotic,3,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,B,1,Litter,ground,36,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,B,1,Bare,ground,4,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,C,2,Litter,ground,39,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,C,2,Pteridium esculentum,native,19,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,C,2,Microlaena stipoides var. stipoides,native,8,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,C,2,Poa labillardierei var. labillardierei,native,17,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,C,2,Phragmites australis,native,11,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,C,2,Rubus anglocandicans,exotic,2,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,C,2,Bare,ground,1,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,C,2,Cirsium vulgare,exotic,2,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,C,2,Senecio glomeratus,native,1,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,C,2,Galium aparine,exotic,2,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,D,3,Poa labillardierei var. labillardierei,native,14,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,D,3,Pteridium esculentum,native,8,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,D,3,Microlaena stipoides var. stipoides,native,20,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,D,3,Senecio glomeratus,native,2,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,D,3,Anthoxanthum odoratum,exotic,1,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,D,3,Bromus hordeaceus subsp. hordeaceus,exotic,5,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,D,3,Sonchus oleraceus,exotic,2,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,D,3,Cirsium vulgare,exotic,3,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,D,3,Bare,ground,1,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,E,4,Litter,ground,38,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,E,4,Microlaena stipoides var. stipoides,native,17,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,E,4,Pteridium esculentum,native,2,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,E,4,Poa labillardierei var. labillardierei,native,6,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,E,4,Senecio glomeratus,native,3,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,E,4,Vulpia bromoides,exotic,3,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,E,4,Anthoxanthum odoratum,exotic,2,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,E,4,Bare,ground,2,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,E,4,Carex appressa,native,1,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,F,5,Microlaena stipoides var. stipoides,native,34,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,F,5,Pteridium esculentum,native,8,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,F,5,Anthoxanthum odoratum,exotic,3,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,F,5,Poa labillardierei var. labillardierei,native,7,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,F,5,Bromus diandrus,exotic,3,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,F,5,Dactylis glomerata,exotic,3,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,F,5,Oxalis perennans,native,1,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,F,5,Senecio runcinifolius,native,1,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,F,5,Senecio glomeratus,native,1,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,F,5,Cirsium vulgare,exotic,1,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,F,5,Litter,ground,40,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,10,F,5,Bare,ground,0,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,9,W,-1,Water,ground,40,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,9,W,-1,Phragmites australis,native,35,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,9,W,-1,Carex appressa,native,5,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,9,W,-1,Rubus anglocandicans,exotic,1,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,9,W,-1,Acacia melanoxylon,native,11,1_5m,13/11/2017,2,0,
Moorabool,Hunts Bridge,9,A,0,Litter,ground,40,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,9,A,0,Phragmites australis,native,25,0_1m,13/11/2017,2,0,
Moorabool,Hunts Bridge,9,A,0,Pteridium esculentum,native,3,0_1m,13/11/2017,2,0,
