SYSTEM,WATERWAY,SITE,TRANSECT,SUB_TRANS,METRES,SPECIES,ORIGIN,HITS,HEIGHT,DATE,SURVEY,EXCLOSURE,NOTES
WGippsland,Thomson,Cowwarr,1,W,-1,Water,ground,40,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,A,0,Juncus amabilis,native,2,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,A,0,Cynodon dactylon var. dactylon,exotic,14,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,A,0,Rubus anglocandicans,#N/A,4,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,A,0,Ranunculus repens,exotic,6,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,A,0,Persicaria praetermissa,native,20,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,A,0,Bare,ground,1,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,A,0,Litter,ground,39,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,B,1,Ranunculus repens,exotic,14,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,B,1,Cynodon dactylon var. dactylon,exotic,28,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,B,1,Anthoxanthum spp.,#N/A,6,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,B,1,Cenchrus clandestinus,exotic,3,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,B,1,Rubus anglocandicans,#N/A,4,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,B,1,Vinca major,#N/A,5,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,B,1,Persicaria praetermissa,native,2,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,B,1,Bare,ground,4,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,B,1,Litter,ground,36,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,C,2,Bare,ground,0,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,C,2,Dactylis glomerata,exotic,4,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,C,2,Monocot grass,exotic,17,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,C,2,Ranunculus repens,exotic,23,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,C,2,Phalaris spp.,#N/A,10,0_1m,17/07/2018,1,0,check species
WGippsland,Thomson,Cowwarr,1,C,2,Holcus spp.,#N/A,10,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,C,2,Vinca major,#N/A,14,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,C,2,Cynodon dactylon var. dactylon,exotic,12,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,C,2,Rubus anglocandicans,#N/A,2,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,C,2,Cenchrus clandestinus,exotic,1,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,C,2,Litter,ground,40,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,D,3,Ranunculus repens,exotic,14,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,D,3,Rubus anglocandicans,#N/A,4,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,D,3,Holcus spp.,#N/A,3,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,D,3,Vinca major,#N/A,26,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,D,3,Phalaris spp.,#N/A,4,0_1m,17/07/2018,1,0,check species
WGippsland,Thomson,Cowwarr,1,D,3,Dactylis glomerata,exotic,23,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,D,3,Litter,ground,40,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,1,D,3,Bare,ground,0,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,2,W,-1,Water,ground,40,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,2,W,-1,Schoenoplectus spp.,#N/A,30,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,2,A,0,Water,ground,6,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,2,A,0,Paspalum distichum,exotic,1,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,2,A,0,Schoenoplectus spp.,#N/A,8,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,2,A,0,Litter,ground,27,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,2,A,0,Bare,ground,13,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,2,B,1,Bare,ground,22,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,2,B,1,Paspalum distichum,exotic,5,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,2,B,1,Persicaria praetermissa,native,3,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,2,B,1,Monocot grass,exotic,1,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,2,B,1,Apiaceae spp.,#N/A,1,0_1m,17/07/2018,1,0,"LV: Conium maculatum is in survey 2, and see note further down about hemlcok"
WGippsland,Thomson,Cowwarr,2,B,1,Ranunculus repens,exotic,1,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,2,B,1,Litter,ground,18,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,2,C,2,Bare,ground,11,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,2,C,2,Vinca major,#N/A,6,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,2,C,2,Dactylis glomerata,exotic,11,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,2,C,2,Rumex crispus,exotic,3,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,2,C,2,Ranunculus repens,exotic,20,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,2,C,2,Holcus spp.,#N/A,2,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,2,C,2,Litter,ground,29,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,2,D,3,Vinca major,#N/A,33,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,2,D,3,Galium aparine,exotic,1,0_1m,17/07/2018,1,0,
WGippsland,Thomson,Cowwarr,2,D,3,Dactylis glomerata,exotic,32,0_1m,17/07/2018,1,0,
