SYSTEM,WATERWAY,SITE,TRANSECT,SUB_TRANS,METRES,SPECIES,ORIGIN,HITS,HEIGHT,DATE,SURVEY,EXCLOSURE,NOTES
Wimmera,Burnt,McGuiness Bridge,1,W,-1,Carex tereticaulis,native,4,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,W,-1,Cycnogeton procerum,native,12,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,W,-1,Cycnogeton procerum,native,23,0_1m,4/09/2017,1,0,
Wimmera,Burnt,McGuiness Bridge,1,W,-1,Juncus procerus,native,2,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,W,-1,Juncus procerus,native,4,0_1m,4/09/2017,1,0,
Wimmera,Burnt,McGuiness Bridge,1,W,-1,Myriophyllum simulans,native,5,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,W,-1,Potamogeton cheesemanii,native,5,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,W,-1,Water,ground,40,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,W,-1,Water,ground,40,0_1m,4/09/2017,1,0,
Wimmera,Burnt,McGuiness Bridge,1,A,0,Bare,ground,9,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,A,0,Carex tereticaulis,native,28,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,A,0,Carex tereticaulis,native,5,0_1m,4/09/2017,1,0,
Wimmera,Burnt,McGuiness Bridge,1,A,0,Cycnogeton procerum,native,18,0_1m,4/09/2017,1,0,
Wimmera,Burnt,McGuiness Bridge,1,A,0,Eleocharis acuta,native,1,0_1m,4/09/2017,1,0,
Wimmera,Burnt,McGuiness Bridge,1,A,0,Juncus articulatus subsp. articulatus,exotic,13,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,A,0,Juncus procerus,native,3,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,A,0,Juncus procerus,native,2,0_1m,4/09/2017,1,0,
Wimmera,Burnt,McGuiness Bridge,1,A,0,Litter,ground,31,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,A,0,Potamogeton cheesemanii,native,1,0_1m,4/09/2017,1,0,
Wimmera,Burnt,McGuiness Bridge,1,A,0,Water,ground,0,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,A,0,Water,ground,40,0_1m,4/09/2017,1,0,
Wimmera,Burnt,McGuiness Bridge,1,B,1,Bare,ground,1,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,B,1,Carex tereticaulis,native,39,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,B,1,Carex tereticaulis,native,37,0_1m,4/09/2017,1,0,
Wimmera,Burnt,McGuiness Bridge,1,B,1,Gladiolus undulatus,exotic,5,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,B,1,Haloragis heterophylla,native,1,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,B,1,Litter,ground,39,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,B,1,Litter,ground,37,0_1m,4/09/2017,1,0,
Wimmera,Burnt,McGuiness Bridge,1,B,1,Phalaris aquatica,exotic,1,0_1m,4/09/2017,1,0,
Wimmera,Burnt,McGuiness Bridge,1,B,1,Tree Root,ground,3,0_1m,4/09/2017,1,0,
Wimmera,Burnt,McGuiness Bridge,1,C,2,Bare,ground,0,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,C,2,Carex tereticaulis,native,17,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,C,2,Carex tereticaulis,native,24,0_1m,4/09/2017,1,0,
Wimmera,Burnt,McGuiness Bridge,1,C,2,Haloragis heterophylla,native,7,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,C,2,Lepidosperma filiforme,native,3,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,C,2,Litter,ground,40,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,C,2,Litter,ground,40,0_1m,4/09/2017,1,0,
Wimmera,Burnt,McGuiness Bridge,1,C,2,Lomandra filiformis subsp. coriacea,native,8,0_1m,4/09/2017,1,0,
Wimmera,Burnt,McGuiness Bridge,1,C,2,Phalaris aquatica,exotic,6,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,C,2,Phalaris aquatica,exotic,2,0_1m,4/09/2017,1,0,
Wimmera,Burnt,McGuiness Bridge,1,D,3,Amphibromus nervosus,native,5,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,D,3,Bare,ground,0,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,D,3,Carex tereticaulis,native,8,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,D,3,Carex tereticaulis,native,4,0_1m,4/09/2017,1,0,
Wimmera,Burnt,McGuiness Bridge,1,D,3,Centella cordifolia,native,1,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,D,3,Deyeuxia quadriseta,native,2,0_1m,4/09/2017,1,0,
Wimmera,Burnt,McGuiness Bridge,1,D,3,Haloragis heterophylla,native,8,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,D,3,Litter,ground,40,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,D,3,Litter,ground,40,0_1m,4/09/2017,1,0,
Wimmera,Burnt,McGuiness Bridge,1,D,3,Lolium rigidum,exotic,1,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,D,3,Phalaris aquatica,exotic,4,0_1m,4/09/2017,1,0,
Wimmera,Burnt,McGuiness Bridge,1,D,3,Romulea rosea,exotic,2,0_1m,20/12/2017,2,0,
Wimmera,Burnt,McGuiness Bridge,1,D,3,Rytidosperma spp.,native,8,0_1m,20/12/2017,2,0,
