SYSTEM,WATERWAY,SITE,TRANSECT,SUB_TRANS,METRES,METRES,SPECIES,ORIGIN,COUNT,DATE,SURVEY,EXCLOSURE,Notes
Yarra,Yarra,Everard Warrandyte,5,W,-1, -1 to 0,Nil,NA,0,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,5,A,0,0 to 1,Nil,NA,0,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,5,B,1,1 to 2,Nil,NA,0,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,5,C,2,2 to 3,Nil,NA,0,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,4,W,-1, -1 to 0,Nil,NA,0,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,4,A,0,0 to 1,Nil,NA,0,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,4,B,1,1 to 2,Nil,NA,0,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,4,C,2,2 to 3,Nil,NA,0,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,3,W,-1, -1 to 0,Nil,NA,0,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,3,A,0,0 to 1,Nil,NA,0,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,3,B,1,1 to 2,Nil,NA,0,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,3,C,2,2 to 3,Nil,NA,0,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,2,W,-1, -1 to 0,Nil,NA,0,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,2,A,0,0 to 1,Nil,NA,0,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,2,B,1,1 to 2,Nil,NA,0,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,2,C,2,2 to 3,Nil,NA,0,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,2,D,3,3 to 4,Nil,NA,0,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,1,W,-1, -1 to 0,Nil,NA,0,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,1,A,0,0 to 1,Nil,NA,0,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,1,B,1,1 to 2,Nil,NA,0,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,1,C,2,2 to 3,Nil,NA,0,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,6,W,-1, -1 to 0,Nil,NA,0,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,6,A,0,0 to 1,Hypochaeris radicata,exotic,9,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,6,A,0,0 to 1,Anthoxanthum odoratum,exotic,10_50,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,6,B,1,1 to 2,Anthoxanthum odoratum,exotic,10_50,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,6,C,2,2 to 3,Anthoxanthum odoratum,exotic,50_100,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,7,W,-1, -1 to 0,Anthoxanthum odoratum,exotic,10_50,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,7,A,0,0 to 1,Anthoxanthum odoratum,exotic,10_50,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,7,A,0,0 to 1,Allium triquetrum,exotic,10_50,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,7,B,1,1 to 2,Anthoxanthum odoratum,exotic,10_50,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,7,C,2,2 to 3,Allium triquetrum,exotic,10_50,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,7,C,2,2 to 3,Anthoxanthum odoratum,exotic,10_50,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,8,W,-1, -1 to 0,Rumex spp.,native,6,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,8,W,-1, -1 to 0,Sonchus spp.,exotic,3,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,8,W,-1, -1 to 0,Dicot,Unknown,5,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,8,W,-1, -1 to 0,Raphanus raphanistrum,exotic,10_50,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,8,W,-1, -1 to 0,Cyperus eragrostis,exotic,2,11/07/2018,1,0,
Yarra,Yarra,Everard Warrandyte,8,W,-1, -1 to 0,Allium triquetrum,exotic,1,11/07/2018,1,0,
