SYSTEM,WATERWAY,SITE,TRANSECT,METRES,SPECIES,HITS,HEIGHT,DATE,SURVEY,DC COMMS
Campaspe,Campaspe,Doaks,1,-1,Water,40,0_1m,4/04/2022,15,
Campaspe,Campaspe,Doaks,1,-1,Phalaris aquatica,12,0_1m,4/04/2022,15,
Campaspe,Campaspe,Doaks,1,-1,Paspalum dilatatum,2,0_1m,4/04/2022,15,
Campaspe,Campaspe,Doaks,1,0,Litter,40,0_1m,4/04/2022,15,
Campaspe,Campaspe,Doaks,1,0,Phalaris aquatica,8,0_1m,4/04/2022,15,
Campaspe,Campaspe,Doaks,1,0,Paspalum dilatatum,9,0_1m,4/04/2022,15,
Campaspe,Campaspe,Doaks,1,0,Cynodon dactylon var. dactylon,7,0_1m,4/04/2022,15,
Campaspe,Campaspe,Doaks,1,0,Dactylis glomerata,5,0_1m,4/04/2022,15,
Campaspe,Campaspe,Doaks,1,0,Bromus catharticus,1,0_1m,4/04/2022,15,
Campaspe,Campaspe,Doaks,1,0,Ehrharta erecta var. erecta,1,0_1m,4/04/2022,15,
Campaspe,Campaspe,Doaks,1,1,Bare,9,0_1m,4/04/2022,15,
Campaspe,Campaspe,Doaks,1,1,Litter,31,0_1m,4/04/2022,15,
Campaspe,Campaspe,Doaks,1,1,Cynodon dactylon var. dactylon,9,0_1m,4/04/2022,15,
Campaspe,Campaspe,Doaks,1,1,Paspalum dilatatum,5,0_1m,4/04/2022,15,
Campaspe,Campaspe,Doaks,1,1,Bromus diandrus,2,0_1m,4/04/2022,15,
Campaspe,Campaspe,Doaks,1,1,Marrubium vulgare,1,0_1m,4/04/2022,15,
Campaspe,Campaspe,Doaks,1,1,Hypochaeris radicata,1,0_1m,4/04/2022,15,
Campaspe,Campaspe,Doaks,1,2,Bare,9,0_1m,4/04/2022,15,
Campaspe,Campaspe,Doaks,1,2,Litter,31,0_1m,4/04/2022,15,
Campaspe,Campaspe,Doaks,1,2,Cynodon dactylon var. dactylon,4,0_1m,4/04/2022,15,
Campaspe,Campaspe,Doaks,1,2,Hypochaeris radicata,2,0_1m,4/04/2022,15,
