SYSTEM,WATERWAY,SITE,TRANSECT,METRES,SPECIES,RECRUIT_COUNT,DATE,SURVEY,Notes
Campaspe,Campaspe,Doaks,1, -1 to 0,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,1,0 to 1,Bromus diandrus,8,4/04/2022,14,
Campaspe,Campaspe,Doaks,1,1 to 2,Bromus diandrus,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,1,2 to 3,Bromus diandrus,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,1,3 to 4,Bromus diandrus,50 to 100,4/04/2022,14,
Campaspe,Campaspe,Doaks,1,4 to 5,Bromus diandrus,50 to 100,4/04/2022,14,
Campaspe,Campaspe,Doaks,2, -1 to 0,Cirsium vulgare,1,4/04/2022,14,
Campaspe,Campaspe,Doaks,2, -1 to 0,Hypochaeris radicata,1,4/04/2022,14,
Campaspe,Campaspe,Doaks,2, -1 to 0,Dicot  ,1,4/04/2022,14,
Campaspe,Campaspe,Doaks,2,0 to 1,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,2,1 to 2,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,2,2 to 3,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,2,3 to 4,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,3, -1 to 0,Rumex conglomeratus,6,4/04/2022,14,
Campaspe,Campaspe,Doaks,3, -1 to 0,Lachnagrostis filiformis s.l.,3,4/04/2022,14,
Campaspe,Campaspe,Doaks,3,0 to 1,Rumex conglomeratus,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,3,0 to 1,Lachnagrostis filiformis s.l.,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,3,0 to 1,Cyperus eragrostis,5,4/04/2022,14,
Campaspe,Campaspe,Doaks,3,1 to 2,Bromus diandrus,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,3,1 to 2,Lachnagrostis filiformis s.l.,3,4/04/2022,14,
Campaspe,Campaspe,Doaks,3,1 to 2,Lolium rigidum,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,3,2 to 3,Bromus diandrus,50 to 100,4/04/2022,14,
Campaspe,Campaspe,Doaks,3,2 to 3,Lolium rigidum,50 to 100,4/04/2022,14,
Campaspe,Campaspe,Doaks,3,3 to 4,Bromus diandrus,50 to 100,4/04/2022,14,
Campaspe,Campaspe,Doaks,3,3 to 4,Lolium rigidum,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,3,4 to 5 ,Bromus diandrus,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,3,4 to 5 ,Lolium rigidum,1,4/04/2022,14,
Campaspe,Campaspe,Doaks,4, -1 to 0,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,4,0 to 1,Hypochaeris radicata,1,4/04/2022,14,
Campaspe,Campaspe,Doaks,4,1 to 2,Dicot  ,1,4/04/2022,14,
Campaspe,Campaspe,Doaks,4,1 to 2,Monocot,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,4,2 to 3,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,4,3 to 4,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,4,4 to 5,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,4,5 to 6,Bromus spp.,50 to 100,4/04/2022,14,
Campaspe,Campaspe,Doaks,4,5 to 6,Sonchus spp.,2,4/04/2022,14,
Campaspe,Campaspe,Doaks,4,5 to 6,Lolium spp.,>100,4/04/2022,14,
Campaspe,Campaspe,Doaks,4,6 to 7,Bromus spp.,50 to 100,4/04/2022,14,
Campaspe,Campaspe,Doaks,4,6 to 7,Lolium spp.,50 to 100,4/04/2022,14,
Campaspe,Campaspe,Doaks,4,6 to 7,Hypochaeris radicata,1,4/04/2022,14,
Campaspe,Campaspe,Doaks,5, -1 to 0,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,5,0 to 1,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,5,1 to 2,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,5,2 to 3,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,5,3 to 4,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,5,4 to 5,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,5,5 to 6,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,5,6 to 7,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,5,7 to 8,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,6, -1 to 0,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,0 to 1,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,1 to 2,Lolium spp.,50 to 100,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,1 to 2,Lachnagrostis filiformis s.l.,2,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,2 to 3,Lolium spp.,50 to 100,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,2 to 3,Sonchus oleraceus,6,4/04/2022,14,
