SYSTEM,WATERWAY,SITE,TRANSECT,METRES,SPECIES,HITS,HEIGHT,DATE,SURVEY,NOTES
Glenelg,Glenelg,Dergholm,1,-1,Water,40,0_1m,18/10/2022,6,T1 - No pegs found
Glenelg,Glenelg,Dergholm,1,-1,Cycnogeton procerum,36,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,-1,Crassula helmsii,25,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,0,Water,40,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,0,Cycnogeton procerum,34,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,0,Crassula helmsii,12,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,0,Aster subulatus,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,0,Poa labillardierei var. labillardierei,10,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,0,Eleocharis acuta,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,1,Water,19,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,1,Bare,12,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,1,Poa labillardierei var. labillardierei,28,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,1,Cycnogeton procerum,18,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,1,Litter,9,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,1,Aster subulatus,6,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,1,Agrostis stolonifera,13,0_1m,18/10/2022,6,"""Agrostis stolon?"""
Glenelg,Glenelg,Dergholm,1,1,Carex appressa,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,1,Oxalis spp.,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,1,Senecio glomeratus,2,0_1m,18/10/2022,6,"""Senecio ?glom"""
Glenelg,Glenelg,Dergholm,1,2,Bare,17,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,2,Litter,23,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,2,Cycnogeton procerum,28,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,2,Poa labillardierei var. labillardierei,23,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,2,Senecio glomeratus,3,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,2,Aster subulatus,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,2,Phalaris aquatica,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,2,Agrostis stolonifera,26,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,2,Plantago lanceolata,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,2,Oxalis spp.,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,2,Crassula helmsii,5,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,2,Ranunculus muricatus,2,0_1m,18/10/2022,6,(not in master list)
Glenelg,Glenelg,Dergholm,1,2,Acaena novae-zelandiae,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,3,Bare,4,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,3,Litter,36,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,3,Agrostis stolonifera,4,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,3,Rumex spp.,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,3,Euchiton involucratus s.l.,4,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,3,Senecio glomeratus,7,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,3,Acaena novae-zelandiae,8,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,3,Carex appressa,8,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,3,Oxalis perennans,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,3,Phalaris aquatica,8,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,3,Plantago lanceolata,13,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,3,Geranium spp.,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,3,Bromus catharticus,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,3,Aster subulatus,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,3,Poa labillardierei var. labillardierei,24,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,4,Bare,3,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,4,Litter,37,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,4,Rosa rubiginosa,1,1_5m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,4,Plantago lanceolata,7,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,4,Poa labillardierei var. labillardierei,22,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,4,Phalaris aquatica,19,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,4,Acaena novae-zelandiae,14,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,4,Lolium spp.,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,4,Mentha australis,5,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,4,Ranunculus repens,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,4,Geranium spp.,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,4,Holcus lanatus,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,4,Bromus diandrus,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,4,Bromus catharticus,3,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,-1,Water,40,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,-1,Cycnogeton procerum,37,0_1m,18/10/2022,6,"""NOTE for T2/T3 - probably NOT water couch. Possinly Agrostis stol or something else. Check next field trip"""
Glenelg,Glenelg,Dergholm,2,-1,Aster subulatus,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,0,Water,40,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,0,Cycnogeton procerum,35,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,0,Poa labillardierei var. labillardierei,5,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,0,Paspalum distichum,4,0_1m,18/10/2022,6,"""?Paspalum distichum"""
Glenelg,Glenelg,Dergholm,2,1,Poa labillardierei var. labillardierei,5,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,1,Cycnogeton procerum,11,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,1,Aster subulatus,3,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,1,Paspalum distichum,30,0_1m,18/10/2022,6,"""?Paspalum distichum"""
Glenelg,Glenelg,Dergholm,2,1,Water,8,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,1,Bare,5,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,1,Litter,27,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,1,Plantago major,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,1,Crassula helmsii,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,2,Bare,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,2,Litter,39,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,2,Phalaris aquatica,13,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,2,Paspalum distichum,18,0_1m,18/10/2022,6,"""?Paspalum distichum"""
Glenelg,Glenelg,Dergholm,2,2,Acaena novae-zelandiae,7,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,2,Rumex brownii,4,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,2,Carex appressa,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,2,Plantago lanceolata,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,2,Senecio glomeratus,6,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,2,Poa labillardierei var. labillardierei,7,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,2,Crassula helmsii,4,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,2,Lobelia spp.,8,0_1m,18/10/2022,6,"""Check previous"""
Glenelg,Glenelg,Dergholm,2,2,Ranunculus muricatus,1,0_1m,18/10/2022,6,"""Weedy"""
Glenelg,Glenelg,Dergholm,2,3,Phalaris aquatica,35,0_1m,18/10/2022,6,"""Phalaris"", presumably aquatica as was in previous (2m)"
Glenelg,Glenelg,Dergholm,2,3,Litter,31,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,3,Log,4,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,3,Bare,5,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,3,Rumex brownii,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,3,Mentha australis,3,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,3,Rosa rubiginosa,15,1_5m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,3,Acaena novae-zelandiae,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,3,Carex appressa,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,-1,Water,40,0_1m,18/10/2022,6,"""NOTE for T2/T3 - probably NOT water couch. Possinly Agrostis stol or something else. Check next field trip"""
Glenelg,Glenelg,Dergholm,3,-1,Cycnogeton procerum,3,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,0,Water,40,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,0,Cycnogeton procerum,25,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,0,Poa labillardierei var. labillardierei,8,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,1,Poa labillardierei var. labillardierei,34,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,1,Litter,40,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,1,Paspalum distichum,4,0_1m,18/10/2022,6,"""?Paspalum distichum"""
Glenelg,Glenelg,Dergholm,3,1,Phalaris aquatica,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,1,Aster subulatus,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,1,Rumex brownii,5,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,1,Cycnogeton procerum,4,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,1,Alternanthera denticulata,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,2,Poa labillardierei var. labillardierei,36,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,2,Litter,40,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,2,Phalaris aquatica,11,0_1m,18/10/2022,6,"""Phalaris"", presumably aquatica as was in previous (2m)"
Glenelg,Glenelg,Dergholm,3,2,Senecio glomeratus,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,2,Lobelia spp.,3,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,2,Oxalis perennans,3,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,2,Ranunculus spp.,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,2,Acaena novae-zelandiae,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,2,Epilobium billardierianum subsp. billardierianum,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,2,Laphangium spp.,2,0_1m,18/10/2022,6,"Just ""Laphangium"""
Glenelg,Glenelg,Dergholm,3,2,Rumex brownii,6,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,2,"""Cardamine pauciflora""",1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,2,Carex appressa,7,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,2,Mentha spp.,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,2,Hypochaeris radicata,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,-1,Water,40,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,-1,Crassula helmsii,30,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,-1,Cycnogeton procerum,26,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,-1,Elodea canadensis,5,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,0,Water,40,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,0,Cycnogeton procerum,23,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,0,Poa labillardierei var. labillardierei,28,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,0,Crassula helmsii,8,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,0,Lobelia anceps,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,1,Poa labillardierei var. labillardierei,23,0_1m,18/10/2022,6,
