SYSTEM,WATERWAY,SITE,TRANSECT,METRES,SPECIES,RECRUIT_COUNT,DATE,SURVEY,Comments (HK)
Glenelg,Glenelg,Dergholm,1, -1 to 0,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,0 to 1,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,1 to 2,Symphyotrichum subulatum,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,1 to 2,Dicot spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,2 to 3,Dicot spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,1,3 to 4,Dicot spp.,6,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2, -1 to 0,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,0 to 1,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,1 to 2,Rumex spp.,3,18/10/2022,6,
Glenelg,Glenelg,Dergholm,2,2 to 3,Mentha spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3, -1 to 0,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,0 to 1,Rumex spp.,6,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,0 to 1,Alternanthera spp.,100+,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,0 to 1,Plantago lanceolata,10,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,1 to 2,Rumex spp.,6,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,1 to 2,Alternanthera spp.,100+,18/10/2022,6,
Glenelg,Glenelg,Dergholm,3,1 to 2,Plantago lanceolata,5,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4, -1 to 0,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,0 to 1,Dicot spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,1 to 2,Dicot spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,1 to 2,Plantago lanceolata,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,2 to 3,Eucalyptus camaldulensis subsp. camaldulensis,2,18/10/2022,6,
Glenelg,Glenelg,Dergholm,4,2 to 3,Dicot spp.,4,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5, -1 to 0,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,0 to 1,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,1 to 2,Alternanthera denticulata,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,1 to 2,Plantago lanceolata,3,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,2 to 3,Dicot spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,2 to 3,Plantago lanceolata,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6, -1 to 0,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,0 to 1,Dicot spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,1 to 2,Dicot spp.,50 to 100,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,1 to 2,Plantago spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,1 to 2,Rumex spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,2 to 3,Bromus diandrus,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,2 to 3,Senecio spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,2 to 3,Plantago lanceolata,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,7, -1 to 0,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Dergholm,7,0 to 1,Dicot spp.,3,18/10/2022,6,
Glenelg,Glenelg,Dergholm,7,1 to 2,Dicot spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,8, -1 to 0,Nil,0,18/10/2022,6,
