SYSTEM,WATERWAY,SITE,TRANSECT,METRES,SPECIES,HITS,HEIGHT,DATE,SURVEY,NOTES,SITE_NOTES
Moorabool,Moorabool,Bostock,2,-1,Bare,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,-1,Litter,36,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,-1,Water,0,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,-1,Rock,2,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,-1,Log,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,-1,Nasturtium officinale,32,0_1m,26/04/2023,6,"Not on the list, written in book as ""nasturtium off""",NA
Moorabool,Moorabool,Bostock,2,-1,Poa labillardierei var. labillardierei,7,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,-1,Isolepis inundata,9,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,-1,Rubus anglocandicans,1,0_1m,26/04/2023,6,"Wrote ""blackberry"", I believe this is the correct species?",NA
Moorabool,Moorabool,Bostock,2,-1,Holcus spp.,1,0_1m,26/04/2023,6,"Unsure which (doesn't say ""holcus sp"", species may have been assumed by recorder?)",NA
Moorabool,Moorabool,Bostock,2,-1,Acaena novae-zelandiae,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,0,Rock,0,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,0,Litter,30,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,0,Cycnogeton procerum,5,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,0,Acaena novae-zelandiae,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,0,Nasturtium officinale,3,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,0,Pteridium esculentum,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,0,Lomandra longifolia,12,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,0,Galium aparine,4,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,0,Rumex brownii,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,0,Rubus anglocandicans,2,0_1m,26/04/2023,6,"Wrote ""blackberry"", I believe this is the correct species?",NA
Moorabool,Moorabool,Bostock,2,0,"""unknown furry""",2,0_1m,26/04/2023,6,didn't see this ID updated anywhere else unfortunately.,NA
Moorabool,Moorabool,Bostock,2,0,Bare,10,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,1,Pteridium esculentum,31,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,1,Litter,25,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,1,Lomandra longifolia,14,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,1,Rubus anglocandicans,4,0_1m,26/04/2023,6,"Wrote ""blackberry"", I believe this is the correct species?",NA
Moorabool,Moorabool,Bostock,2,1,Rock,2,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,1,Bare,13,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,2,Pteridium esculentum,29,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,2,Litter,38,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,2,Acaena novae-zelandiae,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,2,Rubus anglocandicans,1,0_1m,26/04/2023,6,"Wrote ""blackberry"", I believe this is the correct species?",NA
Moorabool,Moorabool,Bostock,2,2,Geranium sp,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,2,Galium aparine,4,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,2,2,Rock,2,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,3,-1,Crassula helmsii,9,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,3,-1,Eleocharis acuta,32,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,3,-1,Water,19,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,3,-1,Nasturtium officinale,5,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,3,-1,Rock,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,3,-1,Litter,21,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,3,-1,Cycnogeton procerum,2,0_1m,26/04/2023,6,(Presuming this is proc based on previous surveys on this day,NA
Moorabool,Moorabool,Bostock,3,-1,Bare,18,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,3,0,Eleocharis acuta,15,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,3,0,Litter,22,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,3,0,Cirsium vulgare,7,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,3,0,Holcus spp.,10,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,3,0,Acaena,1,0_1m,26/04/2023,6,"(Didn't specify, presumably acaena novae-zelandiae based on other records this survey at this site)",NA
Moorabool,Moorabool,Bostock,3,0,Bare ground,18,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,3,0,Lysimachia arvensis,2,0_1m,26/04/2023,6,NA,NA
