SPECIES,GENUS,FAMILY,ORIGIN,LIFEFORM,CLASSIFICATION,INSTREAMVEG?,WPFG,WPFGSOURCE,GROUP,REC_GRP
Nil,NA,NA,Ground,NA,Ground,NA,NA,NA,Ground,Ground
Litter,NA,NA,Ground,NA,Ground,NA,NA,NA,Ground,Ground
Water,NA,NA,Ground,NA,Ground,NA,NA,NA,Ground,Ground
Bare,NA,NA,Ground,NA,Ground,NA,NA,NA,Ground,Ground
Acacia dealbata,Acacia,Fabaceae,native,shrub,Shrub,NO,Tdr,KM,Shrub,Terrestrial
Acacia mearnsii,Acacia,Fabaceae,native,shrub,Shrub,NO,Tdr,assumed from habitat,Shrub,Terrestrial
Acacia melanoxylon,Acacia,Fabaceae,native,shrub,Shrub,NO,Tda,KM,Shrub,Terrestrial
Acacia paradoxa,Acacia,Fabaceae,native,shrub,Shrub,NO,Tdr,NA,Shrub,Terrestrial
Acacia provincialis,Acacia,Fabaceae,native,shrub,Shrub,NO,Tdr,KM,Shrub,Terrestrial
Acacia pycnantha,Acacia,Fabaceae,native,shrub,Shrub,NO,Tdr,KM,Shrub,Terrestrial
Acacia salicina,Acacia,Fabaceae,native,shrub,Shrub,NO,Tdr,KM,Shrub,Terrestrial
Acacia spp.,Acacia,Fabaceae,native,shrub,Shrub,NO,Tdr,assumed from habitat,Shrub,Terrestrial
Acacia verticillata,Acacia,Fabaceae,native,shrub,Shrub,NO,Tda,KM,Shrub,Terrestrial
Acaena echinata,Acaena,Rosaceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Acaena novae-zelandiae,Acaena,Rosaceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Acetosella vulgaris,Acetosella,Polygonaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Adiantum aethiopicum,Adiantum,Pteridaceae,native,fern,Fringing_high,NO,Tda,KM,Littoral margin,Terrestrial
Agrostis capillaris,Agrostis,Poaceae,exotic,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Agrostis spp.,Agrostis,Poaceae,exotic,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Agrostis stolonifera,Agrostis,Poaceae,exotic,grass,Fringing_low,NO,Tdr,assumed from habitat,Littoral,Riparian
Aira elegantissima,Aira,Poaceae,exotic,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Alisma plantago-aquatica,Alisma,Alismataceae,native,forb,Emergent,YES,ARf,KM,Littoral,Riparian
Alisma spp.,Alisma,Alismataceae,unknown,forb,Emergent,YES,NA,NA,Littoral,Riparian
Allium spp.,Allium,Alismataceae,exotic,forb,Fringing_high,NO,NA,NA,Littoral margin,Terrestrial
Allium triquetrum,Allium,Alismataceae,exotic,forb,Fringing_high,NO,Tdr,KM,Littoral margin,Terrestrial
Allocasuarina luehmannii,Allocasuarina,Casuarinaceae,native,tree,Shrub,NO,Tdr,KM,Shrub,Terrestrial
Alternanthera denticulata,Alternanthera,Amaranthaceae,native,forb,Fringing_low,NO,Tda,KM,Littoral,Riparian
Alternanthera sp. 1 (Plains),Alternanthera,Amaranthaceae,native,forb,Fringing_low,NO,Tda,KM,Littoral,Riparian
Alternanthera spp.,Alternanthera,Amaranthaceae,native,forb,Fringing_low,NO,NA,NA,Littoral,Riparian
Amaranthus spp.,Amaranthus,Amaranthaceae,exotic,forb,Terrestrial,NO,Tdr,assumed from other species in genus,Terrestrial,Terrestrial
Amphibromus nervosus,Amphibromus,Poaceae,native,grass,Emergent,YES,Tda,KM,Littoral,Riparian
Anthemis cotula,Anthemis,Asteraceae,exotic,forb,NA,NO,NA,NA,Terrestrial,Terrestrial
Anthosachne scabra,Anthosachne,Poaceae,native,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Anthoxanthum odoratum,Anthoxanthum,Poaceae,exotic,grass,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial
Anthoxanthum spp.,Anthoxanthum,Poaceae,exotic,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Apiaceae spp.,unknown,Apiaceae,unknown,forb,NA,NO,NA,NA,Unknown,Unknown
Apium prostratum,Apium,Apiaceae,native,forb,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial
Aponogeton distachyos,Aponogeton,Aponogetonaceae,exotic,forb,NA,NO,Sk,KM,Aquatic,Aquatic
Araujia sericifera,Araujia,Apocynaceae,exotic,climber,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Arctotheca calendula,Arctotheca,Asteraceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Arthropodium fimbriatum,Arthropodium,Asparagaceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Arthropodium strictum s.l.,Arthropodium,Asparagaceae,native,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Asparagus asparagoides,Asparagus,Asparagaceae,exotic,climber,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Asperula conferta,Asperula,Rubiaceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Asperula gemella,Asperula,Rubiaceae,native,forb,Terrestrial,NO,Tda,Campbell 2014,Terrestrial,Terrestrial
Asperula spp.,Asperula,Rubiaceae,native,forb,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial
Aster subulatus,Aster,Asteraceae,exotic,forb,Fringing_high,NO,Tda,Campbell 2014,Littoral margin,Terrestrial
Asteraceae spp.,unknown,Asteraceae,unknown,forb,Unknown,NO,Unknown,NA,Unknown,Unknown
Atriplex prostrata,Atriplex,Chenopodiaceae,exotic,forb,Fringing_high,NO,Tda,KM,Littoral margin,Terrestrial
Austrocynoglossum latifolium,Austrocynoglossum,Boraginaceae,native,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
